"original_sentence","transformed_sentence","topic"
"My only complaint is that I'd like to organize things more, remove or add album pics, rearrange things, etc.","organ add etc rearrang complaint remov",2
"I can't download anything from YouTube even though I copied and pasted the proper links","copi link past tube download",4
"I find whatever I need hella fast and reliable.","",0
"And the other users - They couldn't run a file sharing service for the life of them.","servic life user run share file",5
"Ive known frostwire to be a great app now its super slow at finding songs and now it won't let me down load songs pls fix this problem","find song fix app super wire vie slow",0
"It's okay I like it but there are small problems because sometimes a song I downloaded from here would randomly play without me hitting play, but other than that I like it.","play song hit randomli download",0
"Can't share files or up load to save for later use to be able to share with other apps now I can't will be deleting no need for this app was good why it lasted   can no longer upload to my Dropbox and when I open the file I'm give to option open or delete that is all","pap app save file option delet last share box load drop",0
"So far good but I would like the listen to my music before I download it just so I know for sure that's the right song or if its a song I've never seen before and would like to know what it sounds like before I waste my time on downloading it that's all","time song download wast sound seen listen music",0
"Gives you everything you need to know","",0
"Half the time the app won't even open, but when it chooses to work its the best app I've found to find all your favorite music","time choos music app found",0
"Pls someone fix the app it won't download or  show any results anymore worked amazing in the beginning","result fix app download begin",0
"It bad but yuh should be able to keep de songs even tho frostwire is uninstalled","wire instal song frost tho",0
"It has let me download every music I want the only problem I see in it is that there's loads of different song singers to one song why can't it be just the one singer that actually sings it ?","song download singer sing load music",0
"I can't download a fnaf song","",0
"I can not describe it in words.","",0
"It takes forever to find certain artist and then says it can't find them","",0
"Since the last update I done on this I can't not get any videos to put on my fone that I like to watch this app sucks now new update to put it bk to how it use to be were all videos come up and that and maybe I'll give you a 5 star","suck video updat phone watch star",0
"I couldnt get on because everytime i try to launch the app on my Samsung Galaxy Tab 3 it says unfortunately frostwire has stopped","time galaxi frost app tri wire launch stop amsun",0
"I only have 3 songs and I can't download  nothing  I am really  getting  mad","get song mad download",0
"But now, everytime i open the app, it just crashes.","",0
"I can't download most off the songs.","",0
"You need to fix it asap!!!!","",0
"This app is awesome but sometimes it won't download all the music","sometim music app download",0
"The only problem I actually have with this app is that sometimes the names are not the same on the downloader as they are in my music player.","player name music app download",0
"Because I cant download it!","",0
"It can't be downloaded!","",0
"It's shit it ain't get the right songs I want fuck this shit this is garbage","garbag fuck song shit",0
"It's crap and doesn't work","",0
"Never failed me once","",0
"It's very slow, and it doesn't download all of the songs I want if to, I give up on frostwire.","wire song frost download",0
"On three occasions I tried running it and I had to restart my phone each time.I do not know what you guys did to this app but i do not want it on my phone anymore","time restart app run tri phone guy occas",0
"Same thing, couldn't find anything.","",0
"A few days later, I received a notice from my internet provider that I had violated a copyright law and my internet was blocked.","receiv provid copyright violat day law block notic",3
"Update: it works perfect on my laptop, but does not work on my xiaomi mi 4.","",0
"I had like 3 songs and downloaded a few more and it won't let me listen to them it makes my tablet really laggy please fix and I will rate 5 stars.","song fix download tablet pleas star rate listen",0
