"sentence","category"
"So easy a caveman can do it!","OTHER"
"It's good","OTHER"
"This app honestly made me uninstall.","OTHER"
"But the new APK is a masterpiece.","OTHER"
"The search works now!","OTHER"
"On top of it.","OTHER"
"YouTube compatibility.","OTHER"
"My only complaint is that I'd like to organize things more, remove or add album pics, rearrange things, etc.","FEATURE REQUEST"
"But I'm not going to bump this great app to a 4 because of a acceptable thing.","OTHER"
"Keep up with the great work!","OTHER"
"I went on the website to download frostwire plus but  now I get less results than when I used this so called basic","OTHER"
"Deleted my songs","OTHER"
"I can find any song I am looking for!","OTHER"
"And I can use PowerAmp to listen to my music, instead of the native app.","INFORMATION GIVING"
"Great app.","OTHER"
"Thank you ALL so much.","OTHER"
"Once you get the update it shows so much more options","OTHER"
"I loved it.","OTHER"
"It had everything I searched and fast.","OTHER"
"This Is a great app should download","OTHER"
"Gives me all I need.","OTHER"
"I can find almost anything I want here!","OTHER"
"It is the best music downloader of all the ones that i used .","OTHER"
"When I click on movie then download and go to transfers it is not there","OTHER"
"I can't download anything from YouTube even though I copied and pasted the proper links","PROBLEM DISCOVERY"
"Nice app","OTHER"
"I find whatever I need hella fast and reliable.","FEATURE REQUEST"
"Better than LimeWire ever was.","OTHER"
"Files never have any type of malware attached, and you can find very high quality stuff easily.","OTHER"
"Keep up the good work.","OTHER"
"And the other users - They couldn't run a file sharing service for the life of them.","PROBLEM DISCOVERY"
"They are complaining about things they clearly know nothing about.","OTHER"
"But keep up the good work FrostWire.","OTHER"
"I'm currently using Plus.","OTHER"
"Best music downloader around, love it.","OTHER"
"Everytime I download songs and go to my song library it has also downloaded a bunch of random songs related to the music I actually meant to download.","OTHER"
"Pretty annoying to be honest","OTHER"
"It said download in background but didn't download I at all","OTHER"
"Installed new apk.","OTHER"
"Worked for a few weeks.","OTHER"
"Now it doesn't again.","OTHER"
"It plays all the music that I what it is so cool and amazing","OTHER"
"Ive known frostwire to be a great app now its super slow at finding songs and now it won't let me down load songs pls fix this problem","PROBLEM DISCOVERY"
"It's okay I like it but there are small problems because sometimes a song I downloaded from here would randomly play without me hitting play, but other than that I like it.","PROBLEM DISCOVERY"
"Best and most reliable torrent Downloader ever, and it has a very sleek menu and it's very easy to find torrents.","OTHER"
"Gives me MANY more songs than other apps.","OTHER"
"THANK YOU","OTHER"
"Way better than ttorent and any other fake ass apps","OTHER"
"i love it","OTHER"
"I liked it but broader range of music would give it 5","OTHER"
"Why won't the music save to my sd card.","INFORMATION SEEKING"
"I have the settings switched to sd card but it won't save to it","OTHER"
"Don't listen to all the people giving poor reviews.","INFORMATION GIVING"
"I've never had any problems since downloading the plus version, definitely the most reliable torrent downlader around keep up the good work!","INFORMATION GIVING"
":)","OTHER"
"Best app ever","OTHER"
"Liked it but","OTHER"
"No complaints since first discovering this app.","OTHER"
"Love it","OTHER"
"Does not download all songs I want","INFORMATION SEEKING"
"Destroyed my sd card and my daughters after we removed the app from our phones.","OTHER"
"Do not get this app","INFORMATION GIVING"
"Last week I downloaded a few songs.","OTHER"
"I am now being SUED for copyright infringement!","OTHER"
"Theres was no needs to up grade this apps now its in its worse stage almost everyone delete it","OTHER"
"Can't share files or up load to save for later use to be able to share with other apps now I can't will be deleting no need for this app was good why it lasted   can no longer upload to my Dropbox and when I open the file I'm give to option open or delete that is all","PROBLEM DISCOVERY"
"Love it","OTHER"
"Love it","OTHER"
"I get all favorite music","OTHER"
"EVERY SINGLE TIME I PRESSED IT IT SAID'""NOT RESPONDING PLEASE  TRY AGAIN"" OVER AND OVER AND OVER AND OVER AND OVER!!!!!!!!!!","OTHER"
"IT SUUUUCKS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","OTHER"
"I love frostwire it get all the music I want  cool wow","OTHER"
"It take to long","OTHER"
"10 outta 10","OTHER"
"Awesome","OTHER"
"If your looking for music its the best","OTHER"
"It literally took 5 whole minutes when I searched a song, and then it said retry.","OTHER"
"I just love it","INFORMATION GIVING"
"Kool","OTHER"
"All the music\videos in one app!","OTHER"
"This site/app is unresolved.","OTHER"
"Doesn't search for nothing.","OTHER"
"And the plus version didn't solve anything, come on really.","OTHER"
"Shouldn't take 2 minutes for ""no results""","INFORMATION SEEKING"
"It forces to close","OTHER"
"I like it, as simple as that.","OTHER"
"Awesome all the songs i want plus it actually works","OTHER"
"i recomend u to get Zedge","OTHER"
"Awesome","OTHER"
"So far good but I would like the listen to my music before I download it just so I know for sure that's the right song or if its a song I've never seen before and would like to know what it sounds like before I waste my time on downloading it that's all","FEATURE REQUEST"
"Very cool","OTHER"
"Gives you everything you need to know","FEATURE REQUEST"
"Half the time the app won't even open, but when it chooses to work its the best app I've found to find all your favorite music","PROBLEM DISCOVERY"
"We need you find tube back","OTHER"
"This app is amazing  cuz i can listening my music went i no have internet is really good","OTHER"
"IT DOSENT WORK AT ALL IT ALWAYS SAYS LOADING WHEN I HAVE FULL BARS OF WIFI AND WHEN IT FINISHES GUESS WHAT IT SAYS NO RESAULTS","OTHER"
"I absolutely love my music and have tried so many music apps.","OTHER"
"This is the best by far!","OTHER"
"Keep up the good work guys!","OTHER"
"Pls someone fix the app it won't download or  show any results anymore worked amazing in the beginning","PROBLEM DISCOVERY"
"This app is a life saver, can find any song Im lookin 4","OTHER"
"This is obviously a professionally made app which can legally download free music.","OTHER"
"It has a search engine which can handpick out songs/MP3/Torrents/MP4 files.","OTHER"
"I would recommend this app to anyone who seeks free music.","OTHER"
"It bad but yuh should be able to keep de songs even tho frostwire is uninstalled","FEATURE REQUEST"
"It has let me download every music I want the only problem I see in it is that there's loads of different song singers to one song why can't it be just the one singer that actually sings it ?","PROBLEM DISCOVERY"
"Other than that I love it thank","OTHER"
"Love it!","OTHER"
"It's perfect its just that when it loads it takes forever","OTHER"
"I can't download a fnaf song","PROBLEM DISCOVERY"
"If you don't have servace or an email this is the app for you","OTHER"
"It takes two hours to an hour to download one song","OTHER"
"I love it :-)","OTHER"
"Seriously.","OTHER"
"Used this on and off for years.","OTHER"
"Now you just deleted all my music files.","INFORMATION GIVING"
"All personal listening.","OTHER"
"No breach of contract.","OTHER"
"Id blacklist you if I could.","OTHER"
"this was not unistalled until after I found music files were deleted.","OTHER"
"And looking at files it was not sd card.","OTHER"
"When you download songs and they go yo frostwire its amazing because you can do everything but the only problem I have is that it is harder to download songs straight from the app you have to download them from somewhere else but I love this app and would totally download it and recommend","INFORMATION GIVING"
"Nothing is geting found","OTHER"
"Hi","OTHER"
"Great songs and quality","OTHER"
"It never loads the search results","OTHER"
"Takes too long to search up songs","OTHER"
"Follow the link on the app and download the one from their website it adds sooo  many more songs!","OTHER"
"Great app!","OTHER"
"It takes a lot of time to download movies and songs but it is the best to download music in this app","OTHER"
"Shout out to this company.","OTHER"
"#SALUTE","OTHER"
"It's ok I guess","OTHER"
"This is an awesome app.","OTHER"
"I can not describe it in words.","PROBLEM DISCOVERY"
"I love it","OTHER"
"Keeps dropping downloads every time i redownload it kicks in a week or less","OTHER"
"Slow af!!!","OTHER"
"Don't download waist of time","INFORMATION GIVING"
"Got the plus version and it is working great!","OTHER"
"Would be a five star rating but the videos I download will not play.","OTHER"
"Love you","OTHER"
"Good to use","OTHER"
"I hop this work","OTHER"
"It takes forever to find certain artist and then says it can't find them","PROBLEM DISCOVERY"
"Works great","OTHER"
"Not good piece realy bad  app","OTHER"
"Don't have songs I like","INFORMATION SEEKING"
"Frostwire","OTHER"
"So far it has found every song and they are great quality.","OTHER"
"Works better than any file sharing app I've ever had.","OTHER"
"Since the last update I done on this I can't not get any videos to put on my fone that I like to watch this app sucks now new update to put it bk to how it use to be were all videos come up and that and maybe I'll give you a 5 star","PROBLEM DISCOVERY"
"I like listening to its songs","OTHER"
"Good","OTHER"
"I couldnt get on because everytime i try to launch the app on my Samsung Galaxy Tab 3 it says unfortunately frostwire has stopped","PROBLEM DISCOVERY"
"This program messed with my Bluetooth so bad I had to reformat.","OTHER"
"How do I know it was frostwire?","INFORMATION SEEKING"
"I put every program BUT frostwire back on my phone and my Bluetooth still worked.","OTHER"
"Thanks a lot.","OTHER"
"Also this program likes to over ride your default music program.","OTHER"
"No setting to change that.","OTHER"
"This program sucks!","OTHER"
"Avoid this program at all cost.","OTHER"
"Best download music app ever for Samsung Galaxy s5 android app.","OTHER"
"It has every song list you want to download.","OTHER"
"I only have 3 songs and I can't download  nothing  I am really  getting  mad","PROBLEM DISCOVERY"
"My dad recomends this for me serousely when i really want to download 1D albums (four).","OTHER"
"It was totally better before the update.","OTHER"
"But now, everytime i open the app, it just crashes.","PROBLEM DISCOVERY"
"Good","OTHER"
"Its good just a little slow","OTHER"
"I Love it !","OTHER"
"I've been looking for an app that can download all my songs!","OTHER"
"It does exactly !!!!","OTHER"
"Don't waste your time it force closes all the time","INFORMATION GIVING"
"It's good!","OTHER"
"Its really good love it get all my favorite songs downloaded","OTHER"
"Amazing for all your downloading needs","OTHER"
"This app use to work great at first, now it sucks!","OTHER"
"I can't download most off the songs.","PROBLEM DISCOVERY"
"It suddenly stoped working!","OTHER"
"You need to fix it asap!!!!","FEATURE REQUEST"
"Google is just ruining the app first they made the company remove YouTube now they must remove soundcloud","OTHER"
"Good app","OTHER"
"I found most of the songs I searched for.","OTHER"
"Which is dope.","OTHER"
"I love Frostwire","OTHER"
"This app is awesome but sometimes it won't download all the music","PROBLEM DISCOVERY"
"The only problem I actually have with this app is that sometimes the names are not the same on the downloader as they are in my music player.","PROBLEM DISCOVERY"
"All the files have worked and, knock on wood, I've had no viruses due to this program.","OTHER"
"(I was a LimeWire user also).","OTHER"
"This app is by far the best music downloader I have found, but be warned, they don't always have all the music you want on a tablet or phone.","OTHER"
