cluster,bag-of-words-cluster,component,similarity,bag-of-words-component
2,organ rearrang complaint remov song download stockad exampl reno asseterr deadhead respons mail concern question journey search titl cant salon fuck oogl restrict devic websit ,com.frostwire.transfers.DownloadTransfer,0.5714285714285714,boolean remov delet datum public void download 
2,organ rearrang complaint remov song download stockad exampl reno asseterr deadhead respons mail concern question journey search titl cant salon fuck oogl restrict devic websit ,com.frostwire.search.RegexSearchPerformer,0.5,public matcher pattern search 
2,organ rearrang complaint remov song download stockad exampl reno asseterr deadhead respons mail concern question journey search titl cant salon fuck oogl restrict devic websit ,com.frostwire.gui.filters.SearchFilterFactory,0.5,public creat filter search 
2,organ rearrang complaint remov song download stockad exampl reno asseterr deadhead respons mail concern question journey search titl cant salon fuck oogl restrict devic websit ,com.limegroup.gnutella.gui.GUIMediator,0.56,exampl nglish cancel wire provid avail none abstract screen titl local compon torrent appli privat cursor window absolut name path method specif visibl appropri singleton paramet flag command hidden wrap frame return cach major track session word servic standardli theme static associ class constant otherwis check tool singular notif event plug field trace play hack dispatch immedi listen safe stack menu automat browser final pane except requir shutdown runtim icon retri throw offset maintain inform tube activ pool network load complet true sound decid messag posit guarante finish user integ search restart type index error remot prioriti leav save warn reason statu access target frost boolean system dialog denot total respons recommend proceed version task handler thread splash text header interrupt valu size sleep width applic preview launch primarili crawl locat resourc notic upgrad song disconnect link invalid datum shell item normal attempt secur wipe support tray librari front delay unsupport refresh string proxi object math child encod instanc invok accessor launcher line switch center bottom lime behavior toolkit catch startup dispos identifi follow seed refer match detail firewal vertic swing program turbocharg util video rememb select properti button initi send exit allow page action hard appear updat sync public specifi desktop nativ runnabl happen modifi compat execut wait focu directori base height clipboard notifi encount ignor explor qualiti store manag content display progress transfer platform partial queue bump panel personifi player imag block reachabl code mediat fals executor hide folder default indic restor implement separ current result mode grab click maxim null place chang overrid print download reset stop slide machin call synchron rigid languag invoc dialogu variou file contain reopen actual request upload question audio core time close pathnam stream void holder minim cloud construct creat retriev explod pointer cleanli timer shown dimens uniqu fatal determin extend succ queri occur option 
3,receiv provid copyright violat block notic movi minut store frost spend download depend wife wire dirti song cover suck babi monster wait ball metal trip wanna butcher harder call slayer band leav commend review ,com.limegroup.gnutella.gui.GUIMediator,0.6470588235294118,exampl nglish cancel wire provid avail none abstract screen titl local compon torrent appli privat cursor window absolut name path method specif visibl appropri singleton paramet flag command hidden wrap frame return cach major track session word servic standardli theme static associ class constant otherwis check tool singular notif event plug field trace play hack dispatch immedi listen safe stack menu automat browser final pane except requir shutdown runtim icon retri throw offset maintain inform tube activ pool network load complet true sound decid messag posit guarante finish user integ search restart type index error remot prioriti leav save warn reason statu access target frost boolean system dialog denot total respons recommend proceed version task handler thread splash text header interrupt valu size sleep width applic preview launch primarili crawl locat resourc notic upgrad song disconnect link invalid datum shell item normal attempt secur wipe support tray librari front delay unsupport refresh string proxi object math child encod instanc invok accessor launcher line switch center bottom lime behavior toolkit catch startup dispos identifi follow seed refer match detail firewal vertic swing program turbocharg util video rememb select properti button initi send exit allow page action hard appear updat sync public specifi desktop nativ runnabl happen modifi compat execut wait focu directori base height clipboard notifi encount ignor explor qualiti store manag content display progress transfer platform partial queue bump panel personifi player imag block reachabl code mediat fals executor hide folder default indic restor implement separ current result mode grab click maxim null place chang overrid print download reset stop slide machin call synchron rigid languag invoc dialogu variou file contain reopen actual request upload question audio core time close pathnam stream void holder minim cloud construct creat retriev explod pointer cleanli timer shown dimens uniqu fatal determin extend succ queri occur option 
4,copi link past tube download play onald farm night instal band locat song stream ,com.frostwire.android.gui.transfers.SoundcloudDownload,0.5714285714285714,cancel remov librarian privat absolut name path temp return field trace engin stack listen final except copi throw tube pool complet sound finish hash search error save statu boolean system length thread header size valu preview item link datum client string instanc catch cover byte scan delet date updat public runnabl execut build sent notifi lollipop manag content progress display transfer platform speed empti code fals result null overrid download print classic file contain document upload collect void protect cloud creat deleg receiv start 
4,copi link past tube download play onald farm night instal band locat song stream ,org.apache.commons.io.IOUtils,0.5714285714285714,charact exampl provid input cast perform incorrect iter name deprec method paramet typic wrap iana return static possibl produc entri otherwis check read server array differ safe free argument final replac except copi throw offset complet true guarante found integ finish super mean builder assign proce world error equal conn boolean system total length recommend version write size valu directli intern unexpect locat resourc hold give disconnect link datum invalid item fail unsupport string math object socket anyway encod instanc line usag catch convert refer alway break selector standard program skip instead util thrown byte subclass reach initi allow output public specifi modifi handl blank uncondit ignor note flush buffer content writer platform writh sequenc block truncat code fals default implement remain separ current pattern left illeg deader null quietli call equival actual file exist stream request close compar collect void construct creat list hello pointer zero determin destin occur count option reader 
4,copi link past tube download play onald farm night instal band locat song stream ,com.frostwire.android.gui.util.UIUtils,0.5714285714285714,cancel wire input cant interfac titl torrent context local thank librarian graviti window absolut similar path method paramet visibl flag adapt return section servic static pictur constant check intent inflat format float trace play book soft reorder array readabl stack listen engin final except referr ring icon throw offset inform activ main music complet true reedit pend messag posit found finish builder elsewher type implicit trim dismi frost unknown boolean system dialog length task toast size valu intern applic resourc curl bullet probabl social item link datum descriptor view front fail string object live durat instanc human switch center bottom tone catch convert transit util medium byte configur button anim layout paus doubl alert linear page horizont action updat public desktop keyboard happen focu custom move ignor filenam eclips append extens manag display transfer featur speed unit rate empti player imag fals mediat hide pars folder default dismiss current detector click null overrid print download ephemer mime short android contain document audio request token twitter suffix void creat start video instal 
4,copi link past tube download play onald farm night instal band locat song stream ,com.frostwire.gui.bittorrent.YouTubeDownload,0.5714285714285714,cancel remov torrent context privat name temp return payment factori trace stack listen licens final except tube pool complet true finish hash ratio search type error equal save boolean share thread size valu peer preview resum crawl locat passabl link datum client string math object instanc averag catch seed broker util byte video delet paus doubl date public runnabl wait execut copyright base build sent filenam progress display transfer partial speed fals result null cleanup overrid download print exist audio upload void creat info receiv start option 
4,copi link past tube download play onald farm night instal band locat song stream ,com.andrew.apollo.utils.MusicUtils,0.5714285714285714,remov none titl context perform travel cursor label name path specif binder command adapt week recent wrap return cach track session servic static otherwis extra intent forc notif format trace play unabl properli array stack listen project menu remedi extern argument backstop final singl except plastic ring releas throw offset activ hour music artist complet true messag posit user integ builder foreground loader type index equal remot error warn logic fetch review parent cycl boolean alarm plural total length enqueu gather wrapper straitjacket databas valu size resourc song item link datum normal auto bulk shuffl fail unsupport refresh string scheme pollo durat instanc invok desir devic resolv switch sort tone lackston insert background catch style previou favorit break equerri skip util medium collid select paus delet date action updat public specifi confirm column base move sent notifi ignor filenam append note store segment repeat connect para quantiti content manag notabl queue empti playback code fals real pars default complementarin current result mode click illeg callback null chang print album fragment mime past genr actual exist transform audio token toggl close time seek unbind void mark creat dial queri determin start previous count option 
