"original_sentence","transformed_sentence","topic"
"Crashes all the time.","",0
"It can not download books, you write  a title of a book but it doesn't search.","search titl download book write",0
"But can you please add pdf format also in it.","",0
"I only wish it could read djvu","",0
"There are a few bugs, but they are minor.","",0
"One is if you have a lot of ebooks,  then a scan seems to forget about some of them.","",0
"Second, there needs a way to flush all of the book info and rebuild it with a new scan.","info rebuild flush book",0
"Most recent update fixed galaxy s6 crash.","",0
"Yesterday's update killed the program on my LG G4, app won't open at all","yesterday kill app updat program",0
"Version 3.1.2.84 didn't work at all on my Lenovo Yoga 2-8.","",0
"I need to reopen program around 15 times to open it.","",0
"Please fix.","",0
"I only wish the UI were more modren.","",0
"Very good app, sometimes it crashes, but versatile and quick!","",0
"But it would be nice to change the language output somehow easily.","",0
"Now I need to go to the TTS settings, switch the voice set, start the app and listen finally.","listen app voic set start switch",0
"Impossible to adjust the font size finely.","",0
"The gap between the text and right edge of the screen can not be removed.","screen gap remov text edg",1
"It always says error in loading","",0
"But how to controlled the auto scroll speed.need a seperate option to activate or deactivate scroll option,not automatic.settings are complicated.read loud option should be improved.images of the player should dissapere automatically.","control auto imag deactiv speed activ dissipat set complic player scroll option improv",1
"Its nice but keeps crashing.","",0
"Plz fix","",0
"Could this error kindly be fixed","",0
"A lot of the finger toggle options don't work, it's difficult making selections.","lot toggl finger option select",1
"That alone is a problem worth avoiding this app for.","",0
"It would be fantastic if users could add their own fonts to the existing set.","set user exist add font",1
"Please fix.","",0
"A brilliant app that desperately needs a design overhaul","",0
"This app crashes every few pages and when I restart it, it goes back to the page it was on when I opened the app.","app restart crash page",0
"Would be great app if it can be fixed where it doesn't keep crashing and shutting down every few pages.","fix crash shut page",0
"Please fix","",0
"I cant open pdf books","",0
"Stopped rating, adding series info, & renaming since info disappears.","renam seri disappear stop rate info",7
"But today was a problem on Elephone p5000.","",0
"App crashed.","",0
"If they can add pdf too","",0
"By the latest update I experience the app closes every 10 min of usage pls fix it soon          after  this new update facing same problems","experi close app fix face min",5
"Please fix it","",0
"App used to be great but now I can't get get 5 pages without it crashing.","",0
"Sometimes black screen after start, some rare cases - app freezes.","app screen start freez",0
"Used to be a great reader, now it keeps crashing almost after every page turn.","",0
"I really like the ability to adjust the brightness with the book open.","brightn adjust book abil",1
"One of the best apps available for android users.Can't ask for more","",0
"Just crashes all the time.","",0
"App can't detect any books found at my sd card or internal storage!","card storag found book detect",0
"Kindle, Aldiko, etc failed to read it.","etc kindl fail read",1
"I keep getting error ""No app can perform this action"".","app error perform action get",6
"Thanks for the quick update to fix the startup crashing (on 5.0) + return of my favourite background.","startup fix background crash updat return thank",0
"Should be 5 stars, but I've got problems with ""browse file system"" panel ( menu is not functional, extSdCard is not accessible, no ability to customize) - could you please fix that?","file system panel menu fix star brows testcard custom pleas abil",0
"Can't get the dictionary working but hey ho, this is still a fantastic app, very customisable too.","",0
"Samsung S 5.crashing and can't finish my book.","amsun finish crash book",0
"Please fix because I really loved this app up until now.","app fix love pleas",0
"But after the last update app crashes on Samsung Galaxy Tab 3","app galaxi amsun tab crash",0
"Background should be improved a lot","",0
"Please  return old paper background!","background return paper pleas",0
"You can adjust this app to what ever your needs or desires are.","",0
"I expect it can't be done.","",0
"Please bring back the old paper one.","",0
"Please fix it","",0
"Glad I actually made text to speech read a whole page before giving this failure of an ebook reader any money","text give speech glad failur reader read page money book",0
"To make it totally perfect add pdf, so I may delete the other one.","",0
"Please bring back old paper background.","background bring paper pleas",0
"Just one final request add PDF support.","",0
"keeps crashing!","",0
"Cannot open pdf","",0
"Different backgrounds, easy to adjust brightness and format, it's been great.","background brightn adjust format",1
"Need to override embedded css settings in epubs.","",0
"can't recommend it enough!","",0
"Please fix!","",0
"Could only be better if it also supported the .docx format-- Otherwise, best eBook reader I've seen for Android, and worth the space on my tablet.","doc support seen reader android space tablet book",0
"Sorry i cannot give more than a star.","",0
"Kept crashing","",0
"Good app, but have problem with reading out loud.","",0
"The app is ok but update for Lollipop material design would be nice.","",0
"The only complaint I have is I wish it supposed mobi format.","wish format complaint suppos mob",0
"Has a very top outlook but for some reason can't download full books for my Huawei y511","reason download book outlook",0
"Used this app for long.was really d best n very easy to use.its acting weird recently.doesn't remember the page where I left reading,once I close and open again all recent books r gone n then have to start from searching which page I left at.tried reinstalling but no difference.plz fix","weird reinstal app left fix rememb search read start differ page act book gone",0
"Please add an animation for scroll that will make it smoother (slows down scroll after lifting finger instead of stopping suddenly).","lift anim add stop scroll slow finger pleas",1
"I cant even read my book!!","",0
"I needed to open an RTF document and this was high on the list in Play.","",0
