"topic","words"
0,"book app read crash reader file fix page time pleas tri format mob updat support star love download load start"
1,"option read set scroll background adjust text font page wish chang bar screen brightn mode control finger menu night switch"
2,"miss set etc anim help jump studi essay lack height button notic lose offic dentist acc heaven kept headphon hurt"
3,"fail hope handl import drive regist perspect categor correct delet star inclin drop anim box explor style appear reader item"
4,"set screen menu brows amsun finish galaxi style chang bar line folder tweak rearrang dream margin configur statu respond develop"
5,"user experi close face min give failur anim follow miss prefer day choic catalog recogn featur look charact dialog shelv"
6,"phone leggi annot releas card storag error action tire trust sugar account ram clear mobil get dose issu ignor locat"
7,"etc info control seri experi learn button qualiti light lose drop download app option lot font renam disappear stop rate"
8,"edg light shown home caus fail deer key cach amsun quirk remov clone brighten plug titl time book maker lit"
9,"issu size upgrad screw raider medium"
10,"detect datum gue recommend trash password requir piec swell beggar organ cut basic restart chooser packag ruin download server pagin"
