cluster,bag-of-words-cluster,component,similarity,bag-of-words-component
1,screen remov text control auto imag deactiv speed dissipat complic player scroll option improv toggl finger select user exist font brightn adjust book abil kindl fail read background format lift anim stop slow pleas pinpoint page switch idiot rotat sentenc ital aloud jump follow bold word annoy encount front titl chang moreov devic menu miss progress time misalign wish sync dictionari line panel found hide reader occupi space height size button volum hidden rest slider phone oper outsid issu notic paragraph ship chunk quicker zoom color retain night offer function footnot sens touch listen enlarg file leav appear wooden public mode strain interfac resolv disabl default search track keep speech voic figur reinstal languag view limit hope result task updat bell whistl spoil manner coupl repeat loop dresser highlight delet bookmark allow pinch fluid broken fiddl game suppos caus bothersom window custom enabl like dimn move hobo share contain display render error ietnames navig support icon consolid brighten sideway tablet skip otherwis fade blank layout complaint split cool clariti reason shown chapter chooser choic adapt tast awesom understand love decreas glare inki save batteri edit tinker amount letter look mono lack drawback ebster scrollbar section shelv flip begin shelf cover provid detail write flick sake reset link lose headach eyestrain smoother spot continu muddl threw featur pretti gripe parchment guess distract maker blame action killer movi statu pictur system honeycomb bottom ,org.coolreader.crengine.BookmarksDlg,0.7164179104477612,adapt bookmark fail fals item type enabl select layout export drawabl dialog titl posit updat name count true string null reader path text list event code frame void view separ remov inflat creat bodi shortcut send super fling listen replac activ switch header boolean goto edit overrid click comment resourc cool file correct button return dismi fragment mode toast imag info context delet size handler public menu 
1,screen remov text control auto imag deactiv speed dissipat complic player scroll option improv toggl finger select user exist font brightn adjust book abil kindl fail read background format lift anim stop slow pleas pinpoint page switch idiot rotat sentenc ital aloud jump follow bold word annoy encount front titl chang moreov devic menu miss progress time misalign wish sync dictionari line panel found hide reader occupi space height size button volum hidden rest slider phone oper outsid issu notic paragraph ship chunk quicker zoom color retain night offer function footnot sens touch listen enlarg file leav appear wooden public mode strain interfac resolv disabl default search track keep speech voic figur reinstal languag view limit hope result task updat bell whistl spoil manner coupl repeat loop dresser highlight delet bookmark allow pinch fluid broken fiddl game suppos caus bothersom window custom enabl like dimn move hobo share contain display render error ietnames navig support icon consolid brighten sideway tablet skip otherwis fade blank layout complaint split cool clariti reason shown chapter chooser choic adapt tast awesom understand love decreas glare inki save batteri edit tinker amount letter look mono lack drawback ebster scrollbar section shelv flip begin shelf cover provid detail write flick sake reset link lose headach eyestrain smoother spot continu muddl threw featur pretti gripe parchment guess distract maker blame action killer movi statu pictur system honeycomb bottom ,org.coolreader.plugins.ErrorResponse,0.6666666666666666,error respons string code public messag 
1,screen remov text control auto imag deactiv speed dissipat complic player scroll option improv toggl finger select user exist font brightn adjust book abil kindl fail read background format lift anim stop slow pleas pinpoint page switch idiot rotat sentenc ital aloud jump follow bold word annoy encount front titl chang moreov devic menu miss progress time misalign wish sync dictionari line panel found hide reader occupi space height size button volum hidden rest slider phone oper outsid issu notic paragraph ship chunk quicker zoom color retain night offer function footnot sens touch listen enlarg file leav appear wooden public mode strain interfac resolv disabl default search track keep speech voic figur reinstal languag view limit hope result task updat bell whistl spoil manner coupl repeat loop dresser highlight delet bookmark allow pinch fluid broken fiddl game suppos caus bothersom window custom enabl like dimn move hobo share contain display render error ietnames navig support icon consolid brighten sideway tablet skip otherwis fade blank layout complaint split cool clariti reason shown chapter chooser choic adapt tast awesom understand love decreas glare inki save batteri edit tinker amount letter look mono lack drawback ebster scrollbar section shelv flip begin shelf cover provid detail write flick sake reset link lose headach eyestrain smoother spot continu muddl threw featur pretti gripe parchment guess distract maker blame action killer movi statu pictur system honeycomb bottom ,org.coolreader.crengine.ToastView,0.5384615384615384,print fals static stack window compar trace true string null reader void view except interrupt queue catch font overrid dismi toast durat size public anchor text 
1,screen remov text control auto imag deactiv speed dissipat complic player scroll option improv toggl finger select user exist font brightn adjust book abil kindl fail read background format lift anim stop slow pleas pinpoint page switch idiot rotat sentenc ital aloud jump follow bold word annoy encount front titl chang moreov devic menu miss progress time misalign wish sync dictionari line panel found hide reader occupi space height size button volum hidden rest slider phone oper outsid issu notic paragraph ship chunk quicker zoom color retain night offer function footnot sens touch listen enlarg file leav appear wooden public mode strain interfac resolv disabl default search track keep speech voic figur reinstal languag view limit hope result task updat bell whistl spoil manner coupl repeat loop dresser highlight delet bookmark allow pinch fluid broken fiddl game suppos caus bothersom window custom enabl like dimn move hobo share contain display render error ietnames navig support icon consolid brighten sideway tablet skip otherwis fade blank layout complaint split cool clariti reason shown chapter chooser choic adapt tast awesom understand love decreas glare inki save batteri edit tinker amount letter look mono lack drawback ebster scrollbar section shelv flip begin shelf cover provid detail write flick sake reset link lose headach eyestrain smoother spot continu muddl threw featur pretti gripe parchment guess distract maker blame action killer movi statu pictur system honeycomb bottom ,org.coolreader.plugins.litres.ResponseHandler,0.5,return error respons string null sync code void overrid public liter messag 
1,screen remov text control auto imag deactiv speed dissipat complic player scroll option improv toggl finger select user exist font brightn adjust book abil kindl fail read background format lift anim stop slow pleas pinpoint page switch idiot rotat sentenc ital aloud jump follow bold word annoy encount front titl chang moreov devic menu miss progress time misalign wish sync dictionari line panel found hide reader occupi space height size button volum hidden rest slider phone oper outsid issu notic paragraph ship chunk quicker zoom color retain night offer function footnot sens touch listen enlarg file leav appear wooden public mode strain interfac resolv disabl default search track keep speech voic figur reinstal languag view limit hope result task updat bell whistl spoil manner coupl repeat loop dresser highlight delet bookmark allow pinch fluid broken fiddl game suppos caus bothersom window custom enabl like dimn move hobo share contain display render error ietnames navig support icon consolid brighten sideway tablet skip otherwis fade blank layout complaint split cool clariti reason shown chapter chooser choic adapt tast awesom understand love decreas glare inki save batteri edit tinker amount letter look mono lack drawback ebster scrollbar section shelv flip begin shelf cover provid detail write flick sake reset link lose headach eyestrain smoother spot continu muddl threw featur pretti gripe parchment guess distract maker blame action killer movi statu pictur system honeycomb bottom ,org.coolreader.crengine.BaseActivity,0.5148514851485149,color theme prefer empti densiti percent user notic bind dialog share posit request control error null reader intent prop revers sandwich view dictionari crib pixel super hide brightn suppr decor save array attar notifi boolean applic runnabl edit confirm thread content start packag cancel file invok scanner toast binder info directori text night instanc callback question item option folder instal screen chang type disabl integ enabl sticki style object commit languag local true minut interfac manag regist configur creat lint diagon mill task action format recycl valu catch main databas menu focu servic return button durat honeycomb base system readi height fals handler inch stabl foreground width sensor select custom obtain titl level browser illeg equal string gener angl para display void tool bound alert clipboard hardwar orient activ execut landscap length allow phone resourc pars engin attribut mode wake context home current light method interv delay corrector static smart privat post layout window portrait target updat releas flag final invoc version default name cream background path navig list properti code perman visibl palm except android accessor devic reset profil wait font switch break categori builder argument overrid click signatur immers help deer metric alpha load lock found size listen public float 
1,screen remov text control auto imag deactiv speed dissipat complic player scroll option improv toggl finger select user exist font brightn adjust book abil kindl fail read background format lift anim stop slow pleas pinpoint page switch idiot rotat sentenc ital aloud jump follow bold word annoy encount front titl chang moreov devic menu miss progress time misalign wish sync dictionari line panel found hide reader occupi space height size button volum hidden rest slider phone oper outsid issu notic paragraph ship chunk quicker zoom color retain night offer function footnot sens touch listen enlarg file leav appear wooden public mode strain interfac resolv disabl default search track keep speech voic figur reinstal languag view limit hope result task updat bell whistl spoil manner coupl repeat loop dresser highlight delet bookmark allow pinch fluid broken fiddl game suppos caus bothersom window custom enabl like dimn move hobo share contain display render error ietnames navig support icon consolid brighten sideway tablet skip otherwis fade blank layout complaint split cool clariti reason shown chapter chooser choic adapt tast awesom understand love decreas glare inki save batteri edit tinker amount letter look mono lack drawback ebster scrollbar section shelv flip begin shelf cover provid detail write flick sake reset link lose headach eyestrain smoother spot continu muddl threw featur pretti gripe parchment guess distract maker blame action killer movi statu pictur system honeycomb bottom ,de.telekom.epub.utils.ScreenHelper,0.6153846153846154,color region left mode array partial static nativ bottom waveform para public refresh 
1,screen remov text control auto imag deactiv speed dissipat complic player scroll option improv toggl finger select user exist font brightn adjust book abil kindl fail read background format lift anim stop slow pleas pinpoint page switch idiot rotat sentenc ital aloud jump follow bold word annoy encount front titl chang moreov devic menu miss progress time misalign wish sync dictionari line panel found hide reader occupi space height size button volum hidden rest slider phone oper outsid issu notic paragraph ship chunk quicker zoom color retain night offer function footnot sens touch listen enlarg file leav appear wooden public mode strain interfac resolv disabl default search track keep speech voic figur reinstal languag view limit hope result task updat bell whistl spoil manner coupl repeat loop dresser highlight delet bookmark allow pinch fluid broken fiddl game suppos caus bothersom window custom enabl like dimn move hobo share contain display render error ietnames navig support icon consolid brighten sideway tablet skip otherwis fade blank layout complaint split cool clariti reason shown chapter chooser choic adapt tast awesom understand love decreas glare inki save batteri edit tinker amount letter look mono lack drawback ebster scrollbar section shelv flip begin shelf cover provid detail write flick sake reset link lose headach eyestrain smoother spot continu muddl threw featur pretti gripe parchment guess distract maker blame action killer movi statu pictur system honeycomb bottom ,org.coolreader.crengine.ReaderView,0.70995670995671,color bolo affi translat coverag canva shell empti forward motion toggl collect percent user elaps dialog drawabl entri posit request seri control error exist allot null reader event normal prop ensur revers frame view dictionari resum remov page statu locat hide shown char zoom previou save copi replac array notifi decreas boolean edit runnabl util thread content start time exit file cancel close scanner garbag lineup whitespac toast tricolor imag duff info charact manual directori volum appli text night bookmark chapter insid fail instanc callback append track item option folder screen chang type disabl integ cert enabl search holder multu style object auto memori none clock languag touch true hyphen histori absolut manag cach sheet creat check mill action task format gestur provid resolv valu batteri catch paint nosi recycl quotat compact reload databas uninhibit focu hype repeat return servic email focus base duplic expir system throw nativ sync fame progress height document delet root parent slide highlight runtim substr fals author handler width sensor black select move titl browser doubl shape canon halit equal string gener angl para hack void tool invalid render bound croni arcsin redraw short recent send immedi clipboard zone orient listen paus activ scroll execut length pattern flip total look section link standard input comment pars engin correct callabl factori acceler resiz mode stop insensit flow flick complet home lite free current tabl deltum singl increas interv delay destroy play privat static post begin uptim corrector stamp intern window updat final command child flag name count schedul version default continu background path navig properti code prompt power success except bdrm refresh finish extern android pathnam shortcut left releas devic specifi textur break builder font switch profil bitmap embed prepar overrid simpl bottom flush swap goto click cool secondari fragment viewer surfac speed help skip insert alpha found timestamp initi size anim public filenam menu 
1,screen remov text control auto imag deactiv speed dissipat complic player scroll option improv toggl finger select user exist font brightn adjust book abil kindl fail read background format lift anim stop slow pleas pinpoint page switch idiot rotat sentenc ital aloud jump follow bold word annoy encount front titl chang moreov devic menu miss progress time misalign wish sync dictionari line panel found hide reader occupi space height size button volum hidden rest slider phone oper outsid issu notic paragraph ship chunk quicker zoom color retain night offer function footnot sens touch listen enlarg file leav appear wooden public mode strain interfac resolv disabl default search track keep speech voic figur reinstal languag view limit hope result task updat bell whistl spoil manner coupl repeat loop dresser highlight delet bookmark allow pinch fluid broken fiddl game suppos caus bothersom window custom enabl like dimn move hobo share contain display render error ietnames navig support icon consolid brighten sideway tablet skip otherwis fade blank layout complaint split cool clariti reason shown chapter chooser choic adapt tast awesom understand love decreas glare inki save batteri edit tinker amount letter look mono lack drawback ebster scrollbar section shelv flip begin shelf cover provid detail write flick sake reset link lose headach eyestrain smoother spot continu muddl threw featur pretti gripe parchment guess distract maker blame action killer movi statu pictur system honeycomb bottom ,org.coolreader.crengine.BookSearchDialog,0.6666666666666666,instanc callback fals sequenc chang watcher post privat search layout dialog protect titl seri final count true string null reader background void view statu crib inflat super task listen char activ trim pattern length book array edit runnabl overrid thread start file cool result return close servic info found context size author public filenam 
1,screen remov text control auto imag deactiv speed dissipat complic player scroll option improv toggl finger select user exist font brightn adjust book abil kindl fail read background format lift anim stop slow pleas pinpoint page switch idiot rotat sentenc ital aloud jump follow bold word annoy encount front titl chang moreov devic menu miss progress time misalign wish sync dictionari line panel found hide reader occupi space height size button volum hidden rest slider phone oper outsid issu notic paragraph ship chunk quicker zoom color retain night offer function footnot sens touch listen enlarg file leav appear wooden public mode strain interfac resolv disabl default search track keep speech voic figur reinstal languag view limit hope result task updat bell whistl spoil manner coupl repeat loop dresser highlight delet bookmark allow pinch fluid broken fiddl game suppos caus bothersom window custom enabl like dimn move hobo share contain display render error ietnames navig support icon consolid brighten sideway tablet skip otherwis fade blank layout complaint split cool clariti reason shown chapter chooser choic adapt tast awesom understand love decreas glare inki save batteri edit tinker amount letter look mono lack drawback ebster scrollbar section shelv flip begin shelf cover provid detail write flick sake reset link lose headach eyestrain smoother spot continu muddl threw featur pretti gripe parchment guess distract maker blame action killer movi statu pictur system honeycomb bottom ,org.coolreader.plugins.FileResponse,0.7777777777777778,file return error respons string store save trial overrid void code book boolean sync line public liter messag 
1,screen remov text control auto imag deactiv speed dissipat complic player scroll option improv toggl finger select user exist font brightn adjust book abil kindl fail read background format lift anim stop slow pleas pinpoint page switch idiot rotat sentenc ital aloud jump follow bold word annoy encount front titl chang moreov devic menu miss progress time misalign wish sync dictionari line panel found hide reader occupi space height size button volum hidden rest slider phone oper outsid issu notic paragraph ship chunk quicker zoom color retain night offer function footnot sens touch listen enlarg file leav appear wooden public mode strain interfac resolv disabl default search track keep speech voic figur reinstal languag view limit hope result task updat bell whistl spoil manner coupl repeat loop dresser highlight delet bookmark allow pinch fluid broken fiddl game suppos caus bothersom window custom enabl like dimn move hobo share contain display render error ietnames navig support icon consolid brighten sideway tablet skip otherwis fade blank layout complaint split cool clariti reason shown chapter chooser choic adapt tast awesom understand love decreas glare inki save batteri edit tinker amount letter look mono lack drawback ebster scrollbar section shelv flip begin shelf cover provid detail write flick sake reset link lose headach eyestrain smoother spot continu muddl threw featur pretti gripe parchment guess distract maker blame action killer movi statu pictur system honeycomb bottom ,org.coolreader.crengine.EinkScreen,0.7142857142857143,print interv sleep static tole nook updat control default shot code void view refresh soft devic reset activ break partial switch boolean prepar return mode system info public 
