"component","bagofwords","transformed_bagofwords"
"org.coolreader.donations.CRDonationService","public Donation Service Activity activity PACKAGE NAME Package Name connect void Conn Connection Override Disconnected Component name null Billing Supported false Connected Binder service Stub Interface VERSION inapp RESULT Products SKUS Purchases list catch Remote Exception while trying check billing supported purchase String product Listener listener Current Completed Bundle Intent PAYLOAD Pending pending Parcelable INTENT start Sender Result Integer value request Code result data Data Extra INAPP PURCHASE DATA JSON Object completed true Total Donations return checking failed bind android vending BIND Context AUTO CREATE Bound unbind boolean ","current fail fals datum disconnect integ total purchas object auto bind parcel request abl vend name version extra true string null product unbind skew support interfac list intent void code bound except connect creat check sender android bundl tri compon valu activ stub catch son boolean overrid packag payload start inapt donat conn bill servic result return complet binder remot context pend listen public"
"org.coolreader.plugins.AsyncOperationControl","public void cancel cancelled true boolean Cancelled return finished Finished Active ","cancel finish return true activ boolean void public"
"org.coolreader.plugins.OnlineStoreWrapper","public Online Store Wrapper Plugin plugin this File Info create Root Directory final root Scanner Library Item Package Name genres Books authors String first Letters First Author char Char Array Upper Case books popular Popular return Async Operation Control open Callback callback control equals Catalog finished Error wrong path Path null fill Genres else starts With prefix Authors Prefix Purchased Ready authenticate login password Authentication register Account Hash params private void load Continue boolean Bought false Override error Code Message Skip Login true Password Success purchase download trial file Save Download Description Refill List Registration Param Parameters ","download wrong callback prefix fals item store privat thi purchas genr authent els final control continu name equal error true string null succ path regist trial plug code para fill void refil list registr paramet librari popular creat finish directori password letter bought login char oper account hash array save wrapper book boolean overrid descript packag start messag file upper return scanner catalog skip sync load info readi root line author public"
"org.coolreader.plugins.OnlineStorePluginManager","public static Online Store Wrapper Plugin Activity activity String path starts With File Info ONLINE CATALOG PLUGIN PREFIX index package Name substring wrapper plugin null Shared Preferences preferences Context MODE PRIVATE Litres PACKAGE NAME equals return ","prefix substr prefer store static privat liter share name equal string null path plug activ wrapper packag start file index catalog return mode info context line public"
"org.coolreader.plugins.OnlineStoreBook","public String Authors Builder authors size Online Store length append name Utils concat first Name last title return Series empty sequence Number ","conceit titl return seri name append string store empti sequenc builder length util line size author public"
"org.coolreader.plugins.DownloadBookCallback","",""
"org.coolreader.plugins.OnlineStorePlugin","",""
"org.coolreader.plugins.OnlineStoreBookInfo","",""
"org.coolreader.plugins.OnlineStoreBooks","public void Online Store Book item list size return index sort Series Title Collections Comparator Override compare sequence Name null Ignore Case Number else Utils book ","item sequenc store ignor collect els titl compar seri name null list void sort book util overrid index return line size public"
"org.coolreader.plugins.ErrorCallback","",""
"org.coolreader.plugins.FileResponse","public File Response Online Store Book book file Save boolean Trial this Override void Error error Code String Message litres Async return ","file return error respons string store save trial overrid void code book boolean thi sync line public liter messag"
"org.coolreader.plugins.OnlineStoreRegistrationParam","public Online Store Registration Param String name description boolean mandatory super this ","boolean mandatori super name string store para registr thi line descript public"
"org.coolreader.plugins.AsyncResponse","",""
"org.coolreader.plugins.FileInfoCallback","",""
"org.coolreader.plugins.OnlineStoreAuthors","public void Online Store Author author list size return index sort Name Collections Comparator Override compare Utils last ","index return compar sort name collect store overrid list util void line size author public"
"org.coolreader.plugins.AuthenticationCallback","",""
"org.coolreader.plugins.OnlineStoreAuthor","public String Prefix size prefix Utils empty last Name substring length while return Upper Case Override Litres Author first middle title photo ","upper titl return prefix name substr photo middl string empti length util overrid size author public liter"
"org.coolreader.plugins.ErrorResponse","public Error Response error Code String Message this ","error respons string code thi public messag"
"org.coolreader.plugins.BookInfoCallback","",""
"org.coolreader.plugins.PurchaseBookCallback","",""
"org.coolreader.plugins.litres.ResponseCallback","",""
