"original_sentence","transformed_sentence","topic"
"I am unable to login my account.","",0
"i can only use it by browser not by app.","",0
"Plz fix this.","",0
"I can't log in to my acc, ""we can't log you in"" == FIX IT PLS","",0
"Every time l make a post it says local draft, but it never uploads to the site so l can't edit interchangeably between my phone & computer.","site upload draft comput post phone time edit",0
"Update: l can't even log in.","",0
"If there is one I can't find it.","",0
"Plus it won't upload my video.","",0
"Says I need to update video press.","",0
"Update: July 22 2015 just installed an update and now I can't see recent comments on the app feed.","uli comment app feed instal",0
"I can't log in like all the comments here.","",0
"Please fix it","",0
"Cant login on the app.but when I use my browser its working fine.","login app browser fine",0
"I can't login with this apps, very disappointed","",0
"Fix this ASAP!","",0
"I can't log in my blog after I update the latest version!!","blog version updat log",0
"Please fix soon!!!","",0
"Cannot log in on android app with new phone, even after password reset.","password phone app reset log",0
"I can't login","",0
"Can't login after downloading this app","",0
"Cant login on Samsung galaxy s4 with latest update but it's work on my acer lz160 with older version.","updat amsun acer galaxi login version",0
"Please fix it","",0
"I cant log in but i can in chrome.","",0
"I can't  even contact customer service,  because that option is blocked.","option block custom servic",0
"I can log in to website, but I can not long in on the app.","",0
"New update won't let me log in and then won't let me contact WP about the issue.","contact issu log updat",0
"Please fix this new update.","",0
"I can't log into my blog.","",0
"Just recently install it today but can't even use it nor logged in.","",0
"Here's the app bug logs : WordPress Android version: 4.3 Android device name: Xiaomi HM 1SW 01 - resetting suggestion tables 02 - trackLastActivity, activityId: My Site 03 - Number of old stats deleted : 0 04 - NewAccountAbstractOage.onCreate() 05 - trackLastActivity, activityId: Login Screen 06 - GCM Error: INVALID_SENDER 07 - Server response:  08 - NewAccountAbs","reset activ stat accountablen interact login suggest tabl log delet bug pre android server respons version site name app word devic error sender screen",0
"I don't think I'm the only one having this issue, please fix it as fast as you can cause friends and I are using these for our art project.","use friend project fix art caus pleas issu",0
"I can't log in!!!!","",0
"WHAT'S THE POINT OF MAKING AN APP FOR THE SITE IF I CAN'T LOG IN?","",0
"SERIOUSLY.needs fixing.","",0
"I wonder why can't we log in on this app, where as through chrome I can perfectly access my account.","app chrome log wonder account acc",0
"Can't log in and contact us is broken.","",0
"I tried uninstalling and installing it back but still doesn't work.","",0
"Please fix!","",0
"I love the site but hate this app because I can't log in to the app even though i changed my password because i thought that was the problem but isn't.","love app log chang hate password site",0
"I can't login to my blog through the app.","",0
"Please fix as i have to keep going onto the computer to do what i need to via the website.","pleas websit fix comput",0
"just need to update the post creator!","",0
"Needs to be like the new and improved version on desktop!","",0
"I can't login my account in the mobile app but I can login in the website.","login websit app account",0
"Can't log in","",0
"This needs fixed asap","",0
"I can't login.","",0
"But the problem is  , "" I can't upload any posts to my wordpress site with this app "" .","app pre post word site",0
"post upload failed : An error occured while uploading the post ""  Even if the post contain just a heading and 3 lines of content ( no media files ) the result is same.","contain fail file upload occur medium result head error post line content",0
