cluster,bag-of-words-cluster,component,similarity,bag-of-words-component
11,understand annoy glitch insight affect reader froze compos post moment tablet remov comment categori section video public found contact option slamic sorri feedback kinda purpos defeat plug support pica stay exist crap word associ believ platform blog druid connect server develop feel stage tree deal ,org.wordpress.android.database.CommentTableTest,0.6666666666666666,void creat equal comment public test 
11,understand annoy glitch insight affect reader froze compos post moment tablet remov comment categori section video public found contact option slamic sorri feedback kinda purpos defeat plug support pica stay exist crap word associ believ platform blog druid connect server develop feel stage tree deal ,org.wordpress.android.ui.stats.StatsActivity,0.5777777777777777,post visitor sign boolean save invis listen user break visibl bundl author final forc para super spinner chang tabl current item interfac screen unus desir move statu slide protect instanti background callback popular proxim method public extra fail updat instanc miss scroll flag blog name fatal widget child error password messag object login string layout found input perform code blue network date client nest count fals page void setup manag parent succ fragment remot request constant track analyt gone text hash dialog tool view access summari pack medium length overview connect color metum section activ allow finish graph creat type datum referr option base insight load filter intent commit failur custom pref abstract suppr toast adman content builder handler util local credenti frame factori click promo time delay main detail durat adapt search privat serial play except alert begin sync menu launcher reach display select front result elev enabl bump posit button plug line recent press context transact return swipe true home outer support event runnabl video check action cancel authent helper instal label refresh avail recreat paramet resourc categori null follow complet duff titl android warn limit replac term contain thread bottom height tracker comment start overrid 
11,understand annoy glitch insight affect reader froze compos post moment tablet remov comment categori section video public found contact option slamic sorri feedback kinda purpos defeat plug support pica stay exist crap word associ believ platform blog druid connect server develop feel stage tree deal ,org.wordpress.android.models.FeatureSet,0.6666666666666666,void blog video contain boolean enabl return public featur 
11,understand annoy glitch insight affect reader froze compos post moment tablet remov comment categori section video public found contact option slamic sorri feedback kinda purpos defeat plug support pica stay exist crap word associ believ platform blog druid connect server develop feel stage tree deal ,org.wordpress.android.ui.reader.actions.ReaderActions,0.5,public boolean return chang 
11,understand annoy glitch insight affect reader froze compos post moment tablet remov comment categori section video public found contact option slamic sorri feedback kinda purpos defeat plug support pica stay exist crap word associ believ platform blog druid connect server develop feel stage tree deal ,org.wordpress.android.models.BlogPairId,0.8,public remot blog return pair 
11,understand annoy glitch insight affect reader froze compos post moment tablet remov comment categori section video public found contact option slamic sorri feedback kinda purpos defeat plug support pica stay exist crap word associ believ platform blog druid connect server develop feel stage tree deal ,org.wordpress.android.ui.stats.models.InsightsPopularModel,0.5,string model blog insight popular doubl respons percent public return week object 
11,understand annoy glitch insight affect reader froze compos post moment tablet remov comment categori section video public found contact option slamic sorri feedback kinda purpos defeat plug support pica stay exist crap word associ believ platform blog druid connect server develop feel stage tree deal ,org.wordpress.android.ui.reader.models.ReaderBlogIdPostIdList,0.5714285714285714,instanc reader serial size blog null post super index return pair public list array 
11,understand annoy glitch insight affect reader froze compos post moment tablet remov comment categori section video public found contact option slamic sorri feedback kinda purpos defeat plug support pica stay exist crap word associ believ platform blog druid connect server develop feel stage tree deal ,org.wordpress.android.ui.stats.models.VisitModel,0.6666666666666666,void string view blog visitor period return public comment 
11,understand annoy glitch insight affect reader froze compos post moment tablet remov comment categori section video public found contact option slamic sorri feedback kinda purpos defeat plug support pica stay exist crap word associ believ platform blog druid connect server develop feel stage tree deal ,org.wordpress.android.ui.posts.EditPostActivity,0.5777777777777777,window permiss bearer post unregist script boolean save ital publish listen break visibl bundl underlin execut final quick account unord valu super loader chang receiv tabl current interfac imag screen item statu bound unus protect instanti size stop debug callback retri method mode strong origin prefer extra etscap public unknown updat write featur fail path queu instanc pars field blog name preview broadcast grid soft error index picker messag photo object layout string found input thumbnail code network schedul info empti extern fals verb manifest page void setup safe camera manag runtim succ fragment remot short request sourc track wait record analyt text prepar dialog environ traceabl touch continu remov medium invalid length section auto connect descript activ initi finish array directori creat type galleri datum remain system secondari option filter hidden intent captur failur comma abstract lock suppr proce queue locat toast throw fetch poster dismi content builder paralyt task util local succeed notif click memori durat adapt span search upload decor privat serial except integ legaci executor alert sync menu requir progress inflat header display select block bold multipl switch result pictur style extend enabl server posit grant button site line default pleas caption handl specif unlink nnabel draft suggest packag press launch context substr return strike gener true home support event insert visual runnabl catch pager video librari check edit action format deni cancel hide helper timeout send refresh servic storag avail resourc quot file categori null token complet titl android mount word limit editor replac warn pool delet equal charact contain thread pend devic fill tracker readi simpl start overrid 
11,understand annoy glitch insight affect reader froze compos post moment tablet remov comment categori section video public found contact option slamic sorri feedback kinda purpos defeat plug support pica stay exist crap word associ believ platform blog druid connect server develop feel stage tree deal ,org.wordpress.android.networking.OAuthAuthenticatorFactoryDefault,0.5,public auto authent return 
11,understand annoy glitch insight affect reader froze compos post moment tablet remov comment categori section video public found contact option slamic sorri feedback kinda purpos defeat plug support pica stay exist crap word associ believ platform blog druid connect server develop feel stage tree deal ,org.wordpress.android.ui.reader.models.ReaderBlogIdPostId,1.0,reader blog post return public 
11,understand annoy glitch insight affect reader froze compos post moment tablet remov comment categori section video public found contact option slamic sorri feedback kinda purpos defeat plug support pica stay exist crap word associ believ platform blog druid connect server develop feel stage tree deal ,org.wordpress.android.ui.reader.ReaderTypes,0.5,type equal preview blog boolean follow return public 
11,understand annoy glitch insight affect reader froze compos post moment tablet remov comment categori section video public found contact option slamic sorri feedback kinda purpos defeat plug support pica stay exist crap word associ believ platform blog druid connect server develop feel stage tree deal ,org.wordpress.android.ui.stats.models.InsightsLatestPostDetailsModel,0.5714285714285714,string except count model blog throw view post insight respons detail return public object 
11,understand annoy glitch insight affect reader froze compos post moment tablet remov comment categori section video public found contact option slamic sorri feedback kinda purpos defeat plug support pica stay exist crap word associ believ platform blog druid connect server develop feel stage tree deal ,org.wordpress.android.editor.ApplicationTest,0.5,public super test applic 
