component,bagofwords
org.wordpress.android.mocks.OAuthAuthenticatorFactoryTest,public Auth Authenticator make switch Mode case EMPTY default TESTS Empty Mock return 
org.wordpress.android.mocks.RestClientEmptyMock,public Rest Client Empty Mock android volley Request Queue queue super java lang String token REST ENDPOINT Absolute return null path util params wordpress rest Listener listener Error error TESTS this Class Method post body POST make method send request void User Agent user Access Token boolean Authenticated true 
org.wordpress.android.mocks.XMLRPCClientCustomizableMockAbstract,public void Context Prefix context String prefix 
org.wordpress.android.mocks.SystemServiceFactoryTest,public Object Context context String name System Property dexmaker dexcache Cache Path NOTIFICATION SERVICE equals Notification Manager notification mock class Callback null Answer when notify cancel return else TESTS Service supported Factory Test 
org.wordpress.android.mocks.XMLRPCFactoryTest,public static void Context Instances context Mode CUSTOMIZABLE JSON TESTS tried change customizable XMLRPC Client mock Customizable Mock Abstract client Prefix String prefix Interface make http User Password switch case null else have Factory Test field before running tests throw Illegal State Exception return EMPTY default Empty 
org.wordpress.android.mocks.RestClientCustomizableMock,public void Context Prefix context String prefix Rest Client Customizable Mock android volley Request Queue queue super token REST ENDPOINT Absolute return null path java util params Listener listener Error error TESTS this Class Method post body POST make method dummy Return Value filename replace https json password invalid equals Response forge Volley From Filename username exists timeout Timeout site reserved data read throw Runtime Exception JSON Object catch send request User Agent Access Token boolean Authenticated true 
org.wordpress.android.mocks.RestClientFactoryTest,public static void Context Instances context Mode CUSTOMIZABLE TESTS change customizable Rest Client mock Customizable Mock client Prefix String prefix make Request Queue queue switch case null else have Factory Test field before running tests throw Illegal State Exception return EMPTY default Empty REST CLIENT VERSIONS version Version 
org.wordpress.android.mocks.XMLRPCClientCustomizableJSONMock,public XMLRPC Client Customizable JSON Mock String http User Password void Quick Post Header type Authorization auth Token Object call method params throws Exception Logged Input Stream null TESTS login failure equals Prefix code Value read File failback default return temp long Async Callback listener Name Response Document 
org.wordpress.android.mocks.XMLRPCClientCustomizableXMLMock,public XMLRPC Client Customizable Mock String http User Password void Quick Post Header type Authorization auth Token Object call method params throws Exception Pull Parser Logged Input Stream null prepare Method catch failed TESTS login failure equals Prefix Fault code Value read File failback default return temp long Async Callback listener Name Response Document 
org.wordpress.android.mocks.OAuthAuthenticatorEmptyMock,public void authenticate Authenticator Request request Account Helper Default Access Token dead parrot 
org.wordpress.android.mocks.XMLRPCClientEmptyMock,public XMLRPC Client Empty Mock String http User Password void Quick Post Header type Authorization auth Token Object call method params throws Exception return null File temp long Async Callback listener Name Response 
org.wordpress.android.ui.posts.PostUtilsTest,public void test Collapse Shortcodes String post Content Text before first gallery number text between galleries after second unknown shortcode collapsed Post Utils assert True contains False Spaces arst Equals Opening Closing recipe difficulty easy your here 
org.wordpress.android.ui.posts.ParentCategorySpinnerAdapter,public Count return Objects size Category Node Item position long Parent Spinner Adapter Context context resource List objects super Resource Override View Drop Down convert Group parent Layout Inflater inflater System Service LAYOUT INFLATER SERVICE false Text find category Image level Indicator Level Html from Name Visibility GONE else Params params width 
org.wordpress.android.ui.posts.PostsListFragment,Override public void Create Bundle saved Instance State super Retain true Added extras Activity Intent Extras null Page Boolean Posts List EXTRA VIEW PAGES View Null Layout Inflater inflater Group container view layout post list fragment false Recycler find recycler Progress Load More progress button Empty empty Title Text title Image image Context context Manager Linear spacing Vertical Resources Dimension Pixel Size dimen reader card gutters Horizontal content margin Item Decoration Build VERSION CODES LOLLIPOP Visibility GONE Click Listener return private init Swipe Refresh Helper Custom Started Network Utils check Connection Refreshing update Message Type NETWORK ERROR request Adapter Word Press Current Blog this Loaded Selected Button Created bundle Resume load VISIBLE long delay Integer integer animation Handler Delayed Runnable scale Duration MEDIUM boolean Suppress Warnings unused Event Main Thread Events Media Info Updated event media Upload Local Table Ended Request Fetching hide Failed else Error error TASK CANCELLED switch case UNAUTHORIZED PERMISSION break default GENERIC Default register Stop unregister Count Available CONTENT Clicked BUTTON PREVIEW full Toast show string found EDIT Launcher edit Result PUBLISH Service start class browse Preview STATS Stats Single Details TRASH DELETE Uploading trash final Trashed undo remove unhide String Draft page deleted trashed Snackbar snackbar make coordinator LENGTH LONG Action Callback Dismissed contains Delete Task execute Remote 
org.wordpress.android.ui.posts.PostPreviewFragment,public static Post Preview Fragment Instance local Blog long Bundle args Activity LOCAL BLOG Long POST fragment Arguments return Override void super Local Create saved State null Save View Layout Inflater inflater Group container layout post preview false find Client client Word Press instantiate Created refresh Added Thread Table final String html Content format Runnable load Data With Base text else Toast Utils show string found start 
