"sentence","category","transformed_sentence"
"It always shows error while logging in.","OTHER",""
"grt app.","OTHER",""
"if u want to earn free dollars, use wild wallet and invite number 1744748 and get 200 credits for free!!","OTHER","wallet credit earn dollar"
"try it now,i did,it wokrs","OTHER",""
"Super Cool like WordPress itself.","OTHER",""
"It's super slow.","OTHER",""
"Why?","OTHER",""
"I am unable to login my account.","PROBLEM DISCOVERY",""
"i can only use it by browser not by app.","PROBLEM DISCOVERY",""
"Plz fix this.","PROBLEM DISCOVERY",""
"I can't log in to my acc, ""we can't log you in"" == FIX IT PLS","PROBLEM DISCOVERY",""
"Every time l make a post it says local draft, but it never uploads to the site so l can't edit interchangeably between my phone & computer.","PROBLEM DISCOVERY","site upload draft comput post phone time edit"
"Update: l can't even log in.","PROBLEM DISCOVERY",""
"You can only sign in one blog only.","OTHER",""
"yeah,but the speed of uploading information is good.","OTHER","upload speed yeah inform"
"If there is one I can't find it.","PROBLEM DISCOVERY",""
"While using the app on samsung galaxy note 3,  a botched copy and paste attempt resulted in an entire post disappearing.","OTHER","use past app disappear galaxi result botch attempt post note copi"
"Very infuriating!!","OTHER",""
"Will never write a draft in this app again.","OTHER",""
"Will write it elsewhere then transfer in.","OTHER",""
"Plus it won't upload my video.","PROBLEM DISCOVERY",""
"Says I need to update video press.","FEATURE REQUEST",""
"Even after I updated the wordpress app.","OTHER","pre app word updat"
"Why isn't everything included in one app.","INFORMATION SEEKING",""
"?","OTHER",""
"Update: July 22 2015 just installed an update and now I can't see recent comments on the app feed.","PROBLEM DISCOVERY","uli comment app feed instal"
"Won't let me login so pretty pointless.","OTHER",""
"Deleted.","OTHER",""
"I can't log in like all the comments here.","PROBLEM DISCOVERY",""
"Please fix it","PROBLEM DISCOVERY",""
"Cant login on the app.but when I use my browser its working fine.","PROBLEM DISCOVERY","login app browser fine"
"I can't login with this apps, very disappointed","PROBLEM DISCOVERY",""
"Seriously.","OTHER",""
"Can't you guys get anything right?","INFORMATION SEEKING",""
"Just one screw up after another.","OTHER",""
"No one can log in on the app.","OTHER",""
"Fix this ASAP!","PROBLEM DISCOVERY",""
"I can't log in my blog after I update the latest version!!","PROBLEM DISCOVERY","blog version updat log"
"Please fix soon!!!","PROBLEM DISCOVERY",""
"I must create my blog!!","OTHER",""
"I can log in website but can't on my phone!!","OTHER",""
"Why?","OTHER",""
"Fix ITT!!","OTHER",""
"Many people are regret!!","OTHER",""
"Cannot log in on android app with new phone, even after password reset.","PROBLEM DISCOVERY","password phone app reset log"
"If I try to submit support ticket, it stats ""Data not found"" and doesn't submit support ticket.","INFORMATION GIVING","submit found tri stat support datum ticket"
"Horrible application","OTHER",""
"I can't login","PROBLEM DISCOVERY",""
"Can't login after downloading this app","PROBLEM DISCOVERY",""
"Cant login on Samsung galaxy s4 with latest update but it's work on my acer lz160 with older version.","PROBLEM DISCOVERY","updat amsun acer galaxi login version"
"Please fix it","PROBLEM DISCOVERY",""
"Are you insane guys ?","OTHER",""
"Stupid update and stupid error.","OTHER",""
"Look into this ASAP","OTHER",""
"I cant log in but i can in chrome.","PROBLEM DISCOVERY",""
"I really wanna use the app.","OTHER",""
"How many more of the same complaints will WordPress get before they adjust.","OTHER","adjust pre complaint word"
"My login info is correct, but this app won't allow me to login.","OTHER","allow login app info"
"I can't  even contact customer service,  because that option is blocked.","PROBLEM DISCOVERY","option block custom servic"
"Very frustrating","OTHER",""
"I can log in to website, but I can not long in on the app.","PROBLEM DISCOVERY",""
"Why?","OTHER",""
"New update won't let me log in and then won't let me contact WP about the issue.","PROBLEM DISCOVERY","contact issu log updat"
"Cannot login","OTHER",""
"Please fix this new update.","PROBLEM DISCOVERY",""
"I can't log into my blog.","PROBLEM DISCOVERY",""
"Don't know why a big blogger company like WP, creating such a damn s**** app.","INFORMATION SEEKING","creat compani app damn blogger"
"Just recently install it today but can't even use it nor logged in.","PROBLEM DISCOVERY",""
"Here's the app bug logs : WordPress Android version: 4.3 Android device name: Xiaomi HM 1SW 01 - resetting suggestion tables 02 - trackLastActivity, activityId: My Site 03 - Number of old stats deleted : 0 04 - NewAccountAbstractOage.onCreate() 05 - trackLastActivity, activityId: Login Screen 06 - GCM Error: INVALID_SENDER 07 - Server response:  08 - NewAccountAbs","PROBLEM DISCOVERY","reset activ stat accountablen interact login suggest tabl log delet bug pre android server respons version site name app word devic error sender screen"
"I don't think I'm the only one having this issue, please fix it as fast as you can cause friends and I are using these for our art project.","PROBLEM DISCOVERY","use friend project fix art caus pleas issu"
"I can't log in!!!!","PROBLEM DISCOVERY",""
"Read the review abt not being able to log in.","OTHER","read bat review log"
"Decided to try my luck and now decided to uninstall.","OTHER","tri luck decid instal"
"guess the bug smashing release got smashed by the bugs.","OTHER","gue smash releas bug"
"This app is useless now, am not able to sign in!!","OTHER",""
"The older version was better!","OTHER",""
"Wasted good bandwidth on this update!!","OTHER",""
"WHAT'S THE POINT OF MAKING AN APP FOR THE SITE IF I CAN'T LOG IN?","PROBLEM DISCOVERY",""
"SERIOUSLY.needs fixing.","FEATURE REQUEST",""
"I LOVE THE WEBSITE BUT HATE THIS APP","OTHER","app love hate websit"
"I wonder why can't we log in on this app, where as through chrome I can perfectly access my account.","PROBLEM DISCOVERY","app chrome log wonder account acc"
"'Contact us' option doesn't help either.","OTHER",""
"This is close to a compacted desktop version.","OTHER",""
"Can't log in and contact us is broken.","PROBLEM DISCOVERY",""
"It's not logging me in on my Xiaomi Mi 4 device.","OTHER",""
"I tried uninstalling and installing it back but still doesn't work.","PROBLEM DISCOVERY",""
"Please fix!","PROBLEM DISCOVERY",""
"I love the site but hate this app because I can't log in to the app even though i changed my password because i thought that was the problem but isn't.","PROBLEM DISCOVERY","love app log chang hate password site"
"I can't login to my blog through the app.","PROBLEM DISCOVERY",""
"The ""contact us"" option throws an error.","OTHER","option contact throw error"
"Why did this make it through QA?","INFORMATION SEEKING",""
"It wont upload the pages i create.","OTHER",""
"It also wont upload changes i make via this app which is frustrating!!","OTHER","frustrat app wont chang"
"Please fix as i have to keep going onto the computer to do what i need to via the website.","PROBLEM DISCOVERY","pleas websit fix comput"
"just need to update the post creator!","FEATURE REQUEST",""
"Needs to be like the new and improved version on desktop!","FEATURE REQUEST",""
"Power!!","OTHER",""
"I can't login my account in the mobile app but I can login in the website.","PROBLEM DISCOVERY","login websit app account"
"So whats the use of this app.","OTHER",""
"Can't log in","PROBLEM DISCOVERY",""
"It's normal","OTHER",""
"But today its not letting me login to my new blog i just created through the app.","OTHER","blog creat login app let"
"I can only login through the site.","OTHER",""
