"original_sentence","transformed_sentence","topic"
"It is so good and faster
Awesome customizability
Nice design, but i can't extract rar file,
Does what it needs to w/o a lot of excess.","lot exc design file stabiliz",0
"One thing I haven't been able to find is a select all (I wanted to move all pictures from phone DCIM folder to a pictures folder on the SD card).","folder dim move card pictur phone",0
"Open Source
Share option Thank you so much for fixing the share option problem.","sourc fix share option thank",0
"But does not showing folder size, need to fix this.","",0
"It's lightweight, feature intensive, looks great, and everything I need to do I can do with this file manager.","manag look file featur",0
"On the Nexus 6 The internal folder, (sd card), does not show up unless I search for it.","search nexu folder card",0
"If I click on the bookmark for storage it doesn't show up but if I go from root to storage, emulated.","root click bookmark storag",0
"But what I am missing in it is the use of gestures.","",0
"Each of which are wonderful android apps to use and I cannot recommend them more.","",0
"Excellent no ads,no purchases simple best  and great UI
I think the best file manager Only thing I would like to be added is to have more options in the app manager (such as ""sort by"", and size), and the ""sort by"" option to be more easily accessible (but that might be just me being used to find it in a different place)
Sooooooo simple, yet complete!!!","purchas app sort size manag option file sourdough simpl",0
"Could you please show the total size of folders (like in solid explorer)?","size explor pleas folder",0
"You could add an option for it in the settings
I really like the simple and clean design of this file manager.","add design manag option file set simpl",0
"Built-in manager in sony sucks, but when I fpond this one, I was amazed :)
Still the best material designed file manager I've tested but I don't like the fact that delete is now buried within a menu rather than at the top of the screen when files are selected.","top fond menu design built select delet materi buri amaz screen suck test manag file",0
"Exceeding expectations Best so far
Simple to use and there are no complicated interface issues with this app.","exceed interfac app issu expect",0
"Never ceases to amaze me Just when I think that it can't get any better, it brings along an update which improves the experience.","experi updat ceas bring amaz improv",0
":D
Excelente
Great Great but 2 pane view for landscape would be even more awesome
Awesome!","",0
"Would be nice to see a support for cloud storage.","",0
"Great app, sadly smb does not work, has no other network connections.","network sob app connect",0
"Can't tell if deletion or extraction  was a success.","succ delet extract tell",8
"Material design Goog
awesome update however there is a bug in add shortcut option.plz fix it.","fix shortcut design updat materi bug option",0
"I cannot make shortcuts  to place them on home screen.","",0
"Please add option to allow changing the directory location for main menu items (DCIM, download, movies, music, videos and pictures).","chang video add menu locat allow movi music dim pleas option directori item pictur download",0
"Good app
Need this 1)Besides copy and delete, add 'cut' button too.","add app copi delet button besid cut",0
"Still a long way to go Incredible app with lots of potential, needs to improve in areas like copying, moving files.","lot app copi file improv move",0
"It can be more interactive during file transfer, copying, moving (please have a look at ASUS file manager).","transfer copi look pleas file manag move",0
"Need cloud support with file transfer, please.","transfer support pleas cloud file",0
"UI size and layout isn't very customizable, but that isn't an issue for me.","",0
"It crashes very often but has potential to be great
Best file manager!","",0
"Great file manager I am too much invested in ES File explorer, so can't really change that.","chang invest explor manag file",0
"But I would like to see some ui improvements in it.","",0
"But can you fix the problem with backup location.","",0
"""You can't do write operations by using any of 3rd party app.","app oper parti use",9
"App manager is having some minor problems, it only updates application status after reboot.","app applic updat manag reboot statu",0
"Thanks
Would love more information density or more items per screen
Copying from SMB doesn't work, finishes instantly but leaves no file.","leaf finish copi screen love sob file item inform densiti thank",9
"thnxs  for great app mr maker
Needs little improvements The app is nice, but it needs some improvements like: 1.","improv thin app maker",0
