"topic","words"
0,"file app crash manag folder add move pleas tri card copi option support time explor storag fix root delet function"
1,"set overlay sob maker editor lose softwar imag abil guy lag recal pap backup stop annoy ring attempt freez action"
2,"pleas menu default etc lack wait clear cool annoy fanci basic wish competit left slide tablet load ring eno touch"
3,"option oper love path handl exampl archiv freez read error struggl samba favorit none busin price ident name laid disabl"
4,"menu folder featur search nexu top fond built materi suck experi ceas connect tell music button view lack enter space"
5,"compress option featur swipe help round moot detail dim pleas top support format deal head instal account icon trash analysi"
6,"list bookmark"
7,"bloat servic ware design phone option sort select network sob extract music cloud parti tri devic start breaker deal archiv"
8,"extract tell play store look surround imagin top delet succ support cloud time devic brows remov guy arr integr featur"
9,"screen use edit default card featur updat oper love mode switch creat menu built editor imag super includ messag toast"
