"sentence","category"
"It is so good and faster
Awesome customizability
Nice design, but i can't extract rar file,
Does what it needs to w/o a lot of excess.","FEATURE REQUEST"
"Switched from ES File Manager which was a great decision.","OTHER"
"One thing I haven't been able to find is a select all (I wanted to move all pictures from phone DCIM folder to a pictures folder on the SD card).","PROBLEM DISCOVERY"
"A nice alternative Fully functional, and free to boot.","OTHER"
"Well done!","OTHER"
"Simple, yet great Fast, lightweight, functional.","OTHER"
"Love it!","OTHER"
"Incredible Love the material design.","OTHER"
"Love the simplicity and power.","OTHER"
"Hamim Enterprise
Amazing Simple and very nice .","OTHER"
".","OTHER"
"Open Source
Share option Thank you so much for fixing the share option problem.","PROBLEM DISCOVERY"
"Better and better
Very beautiful Work flawless on lollipop
The best thanks pro!!!!!!!!!","OTHER"
"Amazing.","OTHER"
"Better alternative to ES
The Best File Manager.","OTHER"
": D
Clean, functional without bloat or ads.","OTHER"
"Clean and simple
I loved it very much.","OTHER"
"It has everything I need.","OTHER"
"And looks fantastic.","OTHER"
"AWE
Nice UI I love the material UI as well as root.","OTHER"
"The only thing I would ask for is a better icon
Nice Best out there
it is pretty, free and light.","OTHER"
"Simple.and easy to use I love this file manager.I really am amazed at how easily I can get things done I normally would just put off due to being to time consuming or complacated.","OTHER"
".","OTHER"
"I really like this app.and I first found it while on the infamous custom rom on my note 4 tmobile .now that I know about it.i will install on every rom I go threw.keep up the great work!","INFORMATION GIVING"
"!","OTHER"
"Clutterfree simple file browser Minimalstic clutter-free file browser without any bloats which does the jib and does it very well.","OTHER"
"Icing on the cake, its open source
Just need.","OTHER"
"Zip Viewer and Fast scroll handle.","OTHER"
"Otherwise it is sweet ;)
Amazing job ,beautiful!","OTHER"
"Early impression 5 stars after first impression.","OTHER"
"I will edit if that changes.","OTHER"
"Good work Dev.","OTHER"
"Clean file manager.","OTHER"
"But does not showing folder size, need to fix this.","FEATURE REQUEST"
"Everything else is great.","OTHER"
"Too Many errors
Amazing app Deserves 5 stars, butlags on zipping of big files
Better than Es Explorer
Great file manager This is my go-to file manager.","OTHER"
"It's lightweight, feature intensive, looks great, and everything I need to do I can do with this file manager.","FEATURE REQUEST"
"Replacement for ES File Explorer If you're tired of all the BS that keeps getting shoveled into ES File Explorer this is the app you're looking for.","OTHER"
"Best app ever
Simple useful
Love it!","OTHER"
"Nice
Nice, clean and functional
Prefect Just what I was looking for.","OTHER"
"too gud i can easily unhide hidden files
Worth more than beta!","OTHER"
"This is too great as a beta.","OTHER"
"many features is available for free.","INFORMATION GIVING"
"The UI, color scheme, function, all.","OTHER"
"Until now, work fine just like one of my favorite explorer app.","INFORMATION GIVING"
"Keep it up, Dev!","OTHER"
"nice Nice to use this kinda file explorer
Beautifull Can u please add some animations like those in google keep.","OTHER"
"When opening and closing some folder we get animation starting and ending at same point.","OTHER"
"Rest everything is awesome.","OTHER"
"Very good file manager, supports root access, is open source, and looks great!","OTHER"
