cluster,bag-of-words-cluster,component,similarity,bag-of-words-component
2,annoy menu fanci basic featur version wish competit left slide tablet usabl scrollbar hope resourc tone surfer ring provid lack pleas subway function cool ,com.amaze.filemanager.activities.MainActivity,0.5,folder window inflat user pager client trace begin append break configur color reset directori restart creat environ secret instanc buttonhol digit catch pleas test resolv switch equal main past code hidden except reselect copi visibl transpar bundl allow build hybrid exist plain loader histori intent chang background unmount plug sync lower enviev default statu hide port replac regist item includ emul synchron bookmark reload navig bottom info substr target split indic event error action gone databas helper materi medium extern undefin server collect finish singleton explor hack cover void search parent manag detach lowest transact custom null format shown separ privat drive cursor layout system pars pref android accent empti appear final type card tabl complet swipe standard integ ordin result compon cancel initi delet watch white remov ignor authent devic contain content return request call antilog invalid modifi bean fragment enabl clipboard renam press anim post view lock slide menu collaps exit argument click home avail durat fail edit receiv lollipop viewer file dialog proce count sort variabl commit resum valu unknown filter translat addr support current refresh warn check smoke primari sourc option print task prefer respons absolut rail author size base notif frame list element connect fals provid array rippl grid reveal root execut prepar float super prefix length pair updat clear compress context method activ string datum link tint listen callback overrid deceler password extract util scheme version attach jelli expand gener entri project boolean titl progress column screen path futur drawabl destroy handler wait host contract save atinka drop categori drawer true permiss mode name cloud resourc close queri transluc interpol storag oper servic toast encrypt process stack parcel index public secondari 
2,annoy menu fanci basic featur version wish competit left slide tablet usabl scrollbar hope resourc tone surfer ring provid lack pleas subway function cool ,com.amaze.filemanager.fragments.MainFragment,0.6666666666666666,folder correct inflat unregist follow client trace break begin color stream directori linear editor scan static creat stop disconnect imag instanc pickup divid catch pleas switch equal span main multu code reselect copi except grant past visibl hidden bundl crypt build light hybrid exist histori intent sync background posit chang default statu hide replac item text read start reload bottom scroll bitmap substr hole action dark extens compr helper medium extern assign collect finish explor hack header void parent search manag ascend detach transact custom null document para shown format adapt drive layout unlock executor pars pref accent android appear final decor type complet swipe integ global ordin scanner result flag cancel lookup limit sorter delet vari watch continu white simpl come thread remov properti authent contain share observ return call descend invalid modifi bean retain enabl fragment renam store tiptop anim post view worker menu time specif argument home click ring exit receiv mime file dialog count recycl cach toggl commit resum unknown valu filter support current refresh primari check print intu option tool prefer task creation size multipl contextu formatt base tree correspond list element theme fals provid array slinki launch grid root prepar float super restor tablet subcultur broadcast button prefix length malform updat alway object match defin method activ string datum child shortcut listen overrid extract util scheme index version jelli gener throw tone boolean titl column screen path drawabl destroy handler wait paus pool drop save drawer true mode permiss picker thumb send name cloud decrypt protect resourc close queri oogl page toast encrypt comput stack parcel width public 
3,compress archiv extens handl exampl pars audio issu encount file error browser button freez masher crash read prone oper explain drove figur happen permiss none busin price reason ident ,com.amaze.filemanager.utils.files.FileUtils,0.7586206896551724,folder access user client free trace append lead remot directori editor scan skin static creat forc instanc line command ivvyy catch slow directli move switch equal copi chooser code main trigger except invers grant visibl space hidden stout hybrid exist plain icon intent chang sync background found amaz lower posit default date attribut replac read start emul anymor bookmark shell info substr target split error instal gone action extens volum self helper stupid medium databas tick colon extern trim collect finish explor void parent archiv manag null document para char format adapt drive system pars pref android empti final type sequenc write intern metum scanner determin audio flag cancel strip simpl manifest contain share content return call invalid modifi store renam clipboard timer anim post convert view request durat avail viewer mime file dialog count lost calcul unknown radix valu account support alpha current primari print appli sourc studio check task prefer creation absolut size multipl fade revers base tree list connect theme fals readabl concurr array launch reveal execut root float super local button prefix length updat object compress context method activ string datum child link short usabl listen callback overrid profound constant extract util index normal gener mill boolean retriev progress path handler deform total drop true permiss mode inaccur name cloud protect builder resourc storag oper toast servic recurs stack packag parcel byte public 
4,featur head fill space type mime music start bubbler file messag play connect crash datum save delet attempt recreat ,com.amaze.filemanager.utils.cloud.CloudUtil,0.7368421052631579,folder user client trace break stream remot static instanc catch switch resolv equal main except hybrid icon refer background plug found default replac item start token thumbnail void null document para privat drive templat final type deprec metum valid strip delet remov authent login content return invalid modifi press post fire file lost unknown account check print sourc task askanc size base list connect fals array launch execut super input prefix length context activ string datum child link callback overrid extract util gener throw boolean path handler drop save drawer true mode name cloud protect resourc close oogl storag toast servic stack parcel public 
4,featur head fill space type mime music start bubbler file messag play connect crash datum save delet attempt recreat ,com.amaze.filemanager.asynchronous.services.EncryptService,0.5263157894736842,folder unregist user color remot creat stop command main crypt build icon pend intent background default start target action void manag style custom layout system compact accent decor type metum ordin flag cancel white head ongo share content return halt view lock receiv viewer file proce valu unknown filter current intu sourc task prefer base filenam notif channel provid binder execut super sticki broadcast updat context activ string datum constant listen overrid foreground util normal extra progress drawabl destroy handler true mode name builder servic encrypt packag parcel public applic 
4,featur head fill space type mime music start bubbler file messag play connect crash datum save delet attempt recreat ,com.amaze.filemanager.fragments.ProcessViewerFragment,0.631578947368421,loos inflat color skin creat imag instanc line move equal span main copi speed visibl bundl bind font intent background hide bottom dark action gone compr setup void parent unbind custom null format layout accent appear final type card complet black result cancel initi delet contain return invalid retain timer view menu viewer file proce resum support current primari option prefer size formatt connect theme fals readabl elev chart root float super button updat context activ string datum overrid foreground extract util entri boolean titl progress drawabl paus written total save true name decrypt resourc servic encrypt process packag parcel byte public 
4,featur head fill space type mime music start bubbler file messag play connect crash datum save delet attempt recreat ,com.amaze.filemanager.database.UtilsHandler,0.5263157894736842,client backup break trace writabl directori node creat environ catch switch equal hidden except movi histori default lite replac bookmark push secur error databas music exec extern singleton void null format char privat cursor auto result delet continu remov content return factori renam view fail file valu radix upgrad print temp tree list select connect readabl concurr array grid common super prefix length pictur updat context string link overrid util version boolean retriev column insert path deer download handler host drop save name alter decrypt queri close oper storag toast encrypt stack index public 
4,featur head fill space type mime music start bubbler file messag play connect crash datum save delet attempt recreat ,com.amaze.filemanager.fragments.MainFragment,0.7368421052631579,folder correct inflat unregist follow client trace break begin color stream directori linear editor scan static creat stop disconnect imag instanc pickup divid catch pleas switch equal span main multu code reselect copi except grant past visibl hidden bundl crypt build light hybrid exist histori intent sync background posit chang default statu hide replac item text read start reload bottom scroll bitmap substr hole action dark extens compr helper medium extern assign collect finish explor hack header void parent search manag ascend detach transact custom null document para shown format adapt drive layout unlock executor pars pref accent android appear final decor type complet swipe integ global ordin scanner result flag cancel lookup limit sorter delet vari watch continu white simpl come thread remov properti authent contain share observ return call descend invalid modifi bean retain enabl fragment renam store tiptop anim post view worker menu time specif argument home click ring exit receiv mime file dialog count recycl cach toggl commit resum unknown valu filter support current refresh primari check print intu option tool prefer task creation size multipl contextu formatt base tree correspond list element theme fals provid array slinki launch grid root prepar float super restor tablet subcultur broadcast button prefix length malform updat alway object match defin method activ string datum child shortcut listen overrid extract util scheme index version jelli gener throw tone boolean titl column screen path drawabl destroy handler wait paus pool drop save drawer true mode permiss picker thumb send name cloud decrypt protect resourc close queri oogl page toast encrypt comput stack parcel width public 
4,featur head fill space type mime music start bubbler file messag play connect crash datum save delet attempt recreat ,com.amaze.filemanager.filesystem.HybridFile,0.8421052631578947,folder staff client free break handl trace stream remot directori creat exclud instanc catch midair switch resolv equal matcher code wise except space allow build hybrid exist refer date found plug default pattern attribut read start shell info substr error alloc extens helper crest email server void parent manag custom null document format adapt drive templat disk layout system debug pars android final type card write deprec integ metum strip delet simpl devic share content return modifi stat repli menu attar request mime file unknown addr account current support check print sourc prefer respons size base list element connect readabl fals array output buffer slinki root execut input local super prefix length malform object context method string datum constant usabl child mask compat overrid engin extract util variou version gener throw boolean retriev schizo path download handler drop total atinka timeout thumb true mode permiss name cloud builder queri resourc close oogl storag stack parcel index public 
4,featur head fill space type mime music start bubbler file messag play connect crash datum save delet attempt recreat ,com.amaze.filemanager.utils.MainActivityHelper,0.5263157894736842,folder user follow break handl begin writabl color directori static creat sheet imag instanc switch equal makefil main code bundl allow regular express video build hybrid exist intent sync chang posit unmount guid default statu start bottom osteopath decompress substr action helper materi medium trim explor void parent search manag transact patter null document para drive insid pars pref accent final type card integ persist ordin audio cancel delet remov contain content share return renam fragment enabl worker argument fail receiv lollipop dialog file quick commit compressor support refresh current check task prefer creation size base watcher filenam frame list theme fals operation array execut root input prefix length match defin context method activ string datum link short overrid extract util normal version enter boolean titl retriev handler drop drawer true mode integr dummi name cloud builder queri recent oogl storag toast servic recurs parcel index public similar 
