component,bagofwords
com.amaze.filemanager.database.UtilsHandlerTest,Before public void utils Handler Utils Instrumentation Registry Target Context Create Writable Database exec DELETE FROM sftp Test test Encode Encrypt perform word example 
com.amaze.filemanager.database.SortHandler,public static Sort Type Context context String path Shared Preferences shared Manager Default final only This Floders PREFERENCE SORTBY ONLY THIS Hash boolean contains global Sortby Integer parse sortby return Handler find Entry null type super DATABASE NAME VERSION Override void Create Lite Database CREATE TABLE COLUMN PATH TEXT PRIMARY TYPE INTEGER exec Upgrade Version Text Utils Empty Content Values content Writable insert clear delete catch Number Format Exception print Stack Trace update Nullable query Select FROM WHERE Readable Cursor cursor Query move First close else List Entries entry Array Next while finally 
com.amaze.filemanager.database.CloudHandler,public Cloud Handler Context context super DATABASE NAME null VERSION this Override void Create Lite Database String CREATE TABLE COLUMN INTEGER PRIMARY PATH TEXT HOME ENCRYPTED PASSWORD CLOUD PERSIST SERVICE exec Upgrade Version DROP EXISTS Entry cloud throws Plugin Exception Sheet Fragment Provider Available Content Values content Service Type ordinal Crypt Util encrypt Password Persist catch print Stack Trace Writable insert clear Open Mode service delete Number Format update find query Select FROM WHERE Readable Cursor cursor Query move First decrypt return close else List Entries entry Array Count continue while Next finally 
com.amaze.filemanager.database.CloudContract,
com.amaze.filemanager.database.CryptHandler,public Crypt Handler Context context super DATABASE NAME null VERSION this Override void Create Lite Database String CREATE TABLE ENCRYPTED COLUMN INTEGER PRIMARY PATH TEXT PASSWORD exec Upgrade Version DROP EXISTS Entry Encrypted encrypted throws General Security Exception Content Values content Path Util Password Writable insert clear path delete catch Number Format print Stack Trace update find query Select FROM WHERE Readable Cursor cursor Query move First decrypt close else return List Entries entry Array boolean Next while finally 
com.amaze.filemanager.database.UtilsHandler,public Utils Handler Context context super DATABASE NAME null VERSION this Override void Create Lite Database exec query History Hidden List Grid Bookmarks Sftp Upgrade Version switch case String backup Table TEMP TABLE PREFIX HISTORY replace INSERT INTO SELECT FROM group path DROP ALTER RENAME HIDDEN LIST GRID BOOKMARKS SFTP default break save Operation operation remove From Common Environment External Storage Directory dirs DIRECTORY DCIM DOWNLOADS MOVIES MUSIC PICTURES File Name name host database Writable Content Values values COLUMN PATH HOST PUBKEY equals PRIVATE insert update connection Connection format Linked Readable Cursor cursor paths boolean Next First while push Column Index close return Concurrent Radix Tree Void Files Default Char Array Node Factory SINGLETON View Path Decrypted catch General Security Exception print Stack Trace Toast make Text string failed decrypt LENGTH LONG show continue retval Client Necessary ERROR Error decrypting else Host encrypt result Auth Private rename clear delete 
com.amaze.filemanager.database.TabHandler,public Handler Context context super DATABASE NAME null VERSION Writable Database Override void Create Lite String CREATE TABLE EXISTS COLUMN INTEGER PRIMARY PATH TEXT HOME ENCRYPTED PASSWORD CLOUD Cloud PERSIST SERVICE SORT Sort TYPE exec Upgrade Downgrade Version Content Values content Number path home this insert clear delete catch Format Exception print Stack Trace find query Select FROM WHERE Cursor cursor Query move First close else return List Tabs Array Readable boolean Next while 
com.amaze.filemanager.asynchronous.asynctasks.ssh.PemToKeyPairTaskTest2,Test public void test Unencrypted Pair throws Interrupted Exception Encrypted Such Field Illegal Access 
com.amaze.filemanager.asynchronous.asynctasks.ssh.PemToKeyPairTaskTest,Test public void test Unencrypted Pair throws Interrupted Exception Encrypted Such Field Illegal Access 
com.amaze.filemanager.asynchronous.asynctasks.ssh.GetSshHostFingerprintTask,public Host Fingerprint Task Null String hostname port Async Result Callback Public callback this 
com.amaze.filemanager.asynchronous.asynctasks.ssh.PemToKeyPairTask,public Pair Task Null Input Stream File Async Result Callback callback throws Exception this Utils read Fully Byte Array String Content Bytes 
com.amaze.filemanager.asynchronous.asynctasks.ssh.SshAuthenticationTask,Constructor param hostname required port must unsigned integer fingerprint username login password using authentication private link Pair based public Authentication Task Null String this Override protected Async Result Client Background Void voids final Custom Config Host Verifier Connect Timeout CONNECT TIMEOUT connect null equals Password return else Publickey Provider Private Type from catch User Exception Stack Trace Transport 
com.amaze.filemanager.asynchronous.services.ftp.FtpServiceStaticMethodsTest,test link Service Local Inet Address Context must return empty string Test public void Must Empty Connected Network Instrumentation Registry Target fail Please connect your device network this assert Null Host address returned Remember wifi when running real devices Enabled Wifi Hotspot enable hotspot Equals 
com.amaze.filemanager.asynchronous.services.ftp.FtpServiceEspressoTest,Before public void throws Reflective Operation Exception service create After shut Down Destroy Test test Service Preference Manager Default Shared Preferences edit Boolean PREFERENCE SECURE false commit Start Command Intent ACTION START FTPSERVER Extra STARTED TILE assert True Running wait Server Client login Verify With Upload Download Secure true 
com.amaze.filemanager.asynchronous.services.ftp.FtpTileService,Override public void Receive Context context Intent intent update Tile State Start Listening super Filter Action Service ACTION STARTED STOPPED register Receiver Stop unregister Click 
com.amaze.filemanager.asynchronous.services.ftp.FtpReceiver,Override public void Receive Context context Intent intent Received Action service Service class Extras equals ACTION START FTPSERVER Running start else STOP stop catch Exception Failed Message 
com.amaze.filemanager.asynchronous.services.ftp.FtpService,Override public Start Command Intent intent flags start Started Tile Boolean Extra STARTED TILE false attempts while server Thread null sleep catch Interrupted Exception ignored else return STICKY this Binder void Shared Preferences preferences Manager Default Server Factory Connection Config connection Anonymous Login Enabled true create String username PREFERENCE USERNAME DEFAULT equals password Crypt Util decrypt Password Application Context PASSWORD Protected General Security print Stack Trace Toast make Text Resources string error LENGTH SHORT show edit Service apply Base User Name anonymous Home Directory PATH List Authority list Array Write Permission Authorities save Listener SECURE Store Instance load open KEYSTORE Algorithm init Trust trust Configuration Client WANT ftpserver Implicit Port Idle Timeout TIMEOUT default send Broadcast ACTION Package FAILEDTOSTART Destroy interrupt join Alive stop STOPPED Task Removed root super restart Class Pending FLAG SHOT Alarm alarm System ALARM SERVICE ELAPSED REALTIME Clock elapsed Realtime static boolean Running Connected Local Network context Connectivity CONNECTIVITY Info Active connected Type TYPE WIFI ETHERNET Interface Collections Interfaces Display starts With rndis Socket Wifi Hotspot enabled call Inet Address Enumeration netinterfaces More Elements next addresses Addresses ADDRESS Host Loopback Link value byte bytes Unknown which shift PORT 
com.amaze.filemanager.utils.files.CryptUtilTest,public void context Instrumentation Registry Target Context Test test Encrypt Decrypt throws Exception String password hackme encrypted Crypt Util Password assert Equals decrypt 
com.amaze.filemanager.utils.files.FileListSorterTest,Purpose when dirs file directory result Input File List Sorter compare Expected return Test public void test Layout Element Parcelable Amaze Manager user symlink true false Open Mode UNKNOWN assert Equals sort title length bigger than positive integer Title Bigger That greater Than smaller negative less same zero Same date more recent Date Lastest size Size extension Extension Another Number 
