"sentence","category","transformed_sentence"
"It is so good and faster
Awesome customizability
Nice design, but i can't extract rar file,
Does what it needs to w/o a lot of excess.","FEATURE REQUEST","lot exc design file stabiliz"
"Switched from ES File Manager which was a great decision.","OTHER","decis manag file switch"
"One thing I haven't been able to find is a select all (I wanted to move all pictures from phone DCIM folder to a pictures folder on the SD card).","PROBLEM DISCOVERY","folder dim move card pictur phone"
"A nice alternative Fully functional, and free to boot.","OTHER",""
"Well done!","OTHER",""
"Simple, yet great Fast, lightweight, functional.","OTHER",""
"Love it!","OTHER",""
"Incredible Love the material design.","OTHER",""
"Love the simplicity and power.","OTHER",""
"Hamim Enterprise
Amazing Simple and very nice .","OTHER",""
".","OTHER",""
"Open Source
Share option Thank you so much for fixing the share option problem.","PROBLEM DISCOVERY","sourc fix share option thank"
"Better and better
Very beautiful Work flawless on lollipop
The best thanks pro!!!!!!!!!","OTHER",""
"Amazing.","OTHER",""
"Better alternative to ES
The Best File Manager.","OTHER",""
": D
Clean, functional without bloat or ads.","OTHER",""
"Clean and simple
I loved it very much.","OTHER",""
"It has everything I need.","OTHER",""
"And looks fantastic.","OTHER",""
"AWE
Nice UI I love the material UI as well as root.","OTHER","root love awe materi"
"The only thing I would ask for is a better icon
Nice Best out there
it is pretty, free and light.","OTHER",""
"Simple.and easy to use I love this file manager.I really am amazed at how easily I can get things done I normally would just put off due to being to time consuming or complacated.","OTHER","time complic consum amaz love manag file simpl"
".","OTHER",""
"I really like this app.and I first found it while on the infamous custom rom on my note 4 tmobile .now that I know about it.i will install on every rom I go threw.keep up the great work!","INFORMATION GIVING","instal note app custom found"
"!","OTHER",""
"Clutterfree simple file browser Minimalstic clutter-free file browser without any bloats which does the jib and does it very well.","OTHER","browser clutter simpl file jib bloat"
"Icing on the cake, its open source
Just need.","OTHER",""
"Zip Viewer and Fast scroll handle.","OTHER","zip scroll handl viewer"
"Otherwise it is sweet ;)
Amazing job ,beautiful!","OTHER",""
"Early impression 5 stars after first impression.","OTHER",""
"I will edit if that changes.","OTHER",""
"Good work Dev.","OTHER",""
"Clean file manager.","OTHER",""
