"component","bagofwords","transformed_bagofwords"
"com.amaze.filemanager.database.UtilsHandlerTest","Before public void utils Handler Utils Instrumentation Registry Target Context Create Writable Database exec DELETE FROM sftp Test test Encode Encrypt perform word example ","handler context perform databas test word exec delet exampl writabl encrypt instrument encod public creat util target void registri"
"com.amaze.filemanager.database.SortHandler","public static Sort Type Context context String path Shared Preferences shared Manager Default final only This Floders PREFERENCE SORTBY ONLY THIS Hash boolean contains global Sortby Integer parse sortby return Handler find Entry null type super DATABASE NAME VERSION Override void Create Lite Database CREATE TABLE COLUMN PATH TEXT PRIMARY TYPE INTEGER exec Upgrade Version Text Utils Empty Content Values content Writable insert clear delete catch Number Format Exception print Stack Trace update Nullable query Select FROM WHERE Readable Cursor cursor Query move First close else List Entries entry Array Next while finally ","folder updat context databas trace string exec writabl overrid static creat util void version manag hash entri catch null sort format move boolean cursor valu column upgrad primari pars insert path except print abl handler prefer final type empti els tabl thi global integ list name select default readabl lite delet queri close array contain share content return super stack text public"
"com.amaze.filemanager.database.CloudHandler","public Cloud Handler Context context super DATABASE NAME null VERSION this Override void Create Lite Database String CREATE TABLE COLUMN INTEGER PRIMARY PATH TEXT HOME ENCRYPTED PASSWORD CLOUD PERSIST SERVICE exec Upgrade Version DROP EXISTS Entry cloud throws Plugin Exception Sheet Fragment Provider Available Content Values content Service Type ordinal Crypt Util encrypt Password Persist catch print Stack Trace Writable insert clear Open Mode service delete Number Format update find query Select FROM WHERE Readable Cursor cursor Query move First decrypt return close else List Entries entry Array Count continue while Next finally ","fragment updat context databas trace string exec writabl home overrid avail password creat util sheet void version entri catch throw null format move count cursor valu column upgrad primari except print path insert crypt handler els type final tabl drop thi exist integ persist ordin mode plug list name select readabl cloud lite provid delet queri decrypt close array continu servic content encrypt super return stack text public"
"com.amaze.filemanager.database.CloudContract","",""
"com.amaze.filemanager.database.CryptHandler","public Crypt Handler Context context super DATABASE NAME null VERSION this Override void Create Lite Database String CREATE TABLE ENCRYPTED COLUMN INTEGER PRIMARY PATH TEXT PASSWORD exec Upgrade Version DROP EXISTS Entry Encrypted encrypted throws General Security Exception Content Values content Path Util Password Writable insert clear path delete catch Number Format print Stack Trace update find query Select FROM WHERE Readable Cursor cursor Query move First decrypt close else return List Entries entry Array boolean Next while finally ","updat context databas trace string exec writabl overrid password creat util void version entri catch throw null format move boolean cursor valu column upgrad primari except insert path print crypt handler els final tabl drop thi exist integ list name select readabl decrypt lite delet queri close array content encrypt super return stack text public secur"
"com.amaze.filemanager.database.UtilsHandler","public Utils Handler Context context super DATABASE NAME null VERSION this Override void Create Lite Database exec query History Hidden List Grid Bookmarks Sftp Upgrade Version switch case String backup Table TEMP TABLE PREFIX HISTORY replace INSERT INTO SELECT FROM group path DROP ALTER RENAME HIDDEN LIST GRID BOOKMARKS SFTP default break save Operation operation remove From Common Environment External Storage Directory dirs DIRECTORY DCIM DOWNLOADS MOVIES MUSIC PICTURES File Name name host database Writable Content Values values COLUMN PATH HOST PUBKEY equals PRIVATE insert update connection Connection format Linked Readable Cursor cursor paths boolean Next First while push Column Index close return Concurrent Radix Tree Void Files Default Char Array Node Factory SINGLETON View Path Decrypted catch General Security Exception print Stack Trace Toast make Text string failed decrypt LENGTH LONG show continue retval Client Necessary ERROR Error decrypting else Host encrypt result Auth Private rename clear delete ","client backup break trace writabl directori node creat environ catch switch equal hidden except movi histori default lite replac bookmark push secur error databas music exec extern dim singleton void null format char privat cursor tabl auto result delet continu remov content return factori renam view fail file valu radix upgrad print temp tree list select connect readabl concurr array grid common super prefix length pictur updat context string link overrid util version boolean retriev column insert path deer download handler els host drop save thi key name pub alter decrypt queri close oper storag toast encrypt stack text index public"
"com.amaze.filemanager.database.TabHandler","public Handler Context context super DATABASE NAME null VERSION Writable Database Override void Create Lite String CREATE TABLE EXISTS COLUMN INTEGER PRIMARY PATH TEXT HOME ENCRYPTED PASSWORD CLOUD Cloud PERSIST SERVICE SORT Sort TYPE exec Upgrade Downgrade Version Content Values content Number path home this insert clear delete catch Format Exception print Stack Trace find query Select FROM WHERE Cursor cursor Query move First close else return List Tabs Array Readable boolean Next while ","context databas trace string exec writabl home overrid password creat void version catch null sort format move boolean cursor valu tab column upgrad primari insert except path print downgrad handler els type tabl thi exist integ persist list name select readabl cloud lite delet queri close array servic content encrypt super return stack text public"
"com.amaze.filemanager.asynchronous.asynctasks.ssh.PemToKeyPairTaskTest2","Test public void test Unencrypted Pair throws Interrupted Exception Encrypted Such Field Illegal Access ","pair throw acc test encrypt unencrypt field illeg except public interrupt void"
"com.amaze.filemanager.asynchronous.asynctasks.ssh.PemToKeyPairTaskTest","Test public void test Unencrypted Pair throws Interrupted Exception Encrypted Such Field Illegal Access ","pair throw acc test encrypt unencrypt field illeg except public interrupt void"
"com.amaze.filemanager.asynchronous.asynctasks.ssh.GetSshHostFingerprintTask","public Host Fingerprint Task Null String hostname port Async Result Callback Public callback this ","task host null thi string sync result callback fingerprint name public port"
