cluster,bag-of-words-cluster,component,similarity,bag-of-words-component
2,updat instal version sort extract card costum destin ,com.javiersantos.mlmanager.utils.UtilsDialog,0.5,materi public button reboot drawabl singl char hidden list color extract item manag activ packag adapt delet null applic link root format size build launcher eras true featur compact break cancel snack fals string util view action gray progress file default mishap context display void overrid system icon select style name callback content resourc android instal click posit final listen simpl oogl background remov white para phone dialog descript switch titl return integ sequenc visibl static builder info 
2,updat instal version sort extract card costum destin ,com.javiersantos.mlmanager.activities.AboutActivity,0.5,header initi support statu public version window codenam lollipop darker color manag packag layout tool super janitor slide forward build prefer card pend string util action view primari black void system element overrid context configur navig name play screen click listen resourc background avier oogl para commun draw privat titl press transit flag anto fade applic 
2,updat instal version sort extract card costum destin ,com.javiersantos.mlmanager.adapters.AppAdapter,0.75,result materi bitmap version lollipop color format build messag share true datum save pend bind file inflat filenam context chang output code send notifi fade option info button char list manag anim layout array slide size start publish icon click background final descript transit filter imag chooser perform creat activ protect adapt null scene card string view progress void overrid intent name lower dialog titl return sequenc applic holder public drawabl event extract item main prefer execut search count fals util sourc valu primari contain system content listen resourc privat copi bundl 
2,updat instal version sort extract card costum destin ,com.javiersantos.mlmanager.activities.AppActivity,1.0,result materi version menu window except permiss normal lollipop darker color super request format build enabl forward trace true share datum snack save pend file inflat filenam element context collaps servic configur navig finish oogl home extra output para remov code send fade visibl builder info option header support button clip manag layout delet slide root start dismi action clipboard icon play foreground instal click background final draw descript switch catch transit imag statu print chooser boolean hidden launch creat activ packag null stack expand card string view progress black void pointer succ overrid select intent name plain dialog titl press flag return applic initi pars public reboot drawabl hide extract item tool prefer featur float execut fals util gone primari favorit display system screen callback content listen resourc posit prepar privat copi cach 
2,updat instal version sort extract card costum destin ,com.javiersantos.mlmanager.utils.UtilsApp,0.75,bitmap except version menu permiss exist compr directori storag request format trace true share save file filenam context banner chang oogl output extra para remov code send write visibl extern environ info archiv button stream list custom manag delet start action default icon unhidden play instal path final retriev store switch catch length type market read print otherwis boolean packag activ folder task stack manifest compact break string view grant void intent name check titl troll return flag self applic static initi pars browser public drawabl detail decod hide extract item found prefer float fals util sourc favorit contain border resourc android white copi cach factori 
2,updat instal version sort extract card costum destin ,com.javiersantos.mlmanager.activities.SettingsActivity,0.5,version window color directori super forward enabl share true save pend instanc file inflat filenam context configur navig chang code fade builder custom manag sort layout delet slide start error dismi default summari click path licens final pref transit wrapper read chooser boolean creat activ modif null regist string view black void select overrid intent name dialog titl press return applic initi public linear tool prefer cancel fals util valu primari mode content resourc listen fragment white ambit allow warn bundl 
3,extractor swipe design look applic delet slip finger confirm note orient crash portrait chang landscap choic multu ,com.javiersantos.mlmanager.ApplicationTest,0.5,applic public test super 
5,mirror recommend send version ,com.javiersantos.mlmanager.activities.AboutActivity,0.5,header initi support statu public version window codenam lollipop darker color manag packag layout tool super janitor slide forward build prefer card pend string util action view primari black void system element overrid context configur navig name play screen click listen resourc background avier oogl para commun draw privat titl press transit flag anto fade applic 
5,mirror recommend send version ,com.javiersantos.mlmanager.adapters.AppAdapter,1.0,result materi bitmap version lollipop color format build messag share true datum save pend bind file inflat filenam context chang output code send notifi fade option info button char list manag anim layout array slide size start publish icon click background final descript transit filter imag chooser perform creat activ protect adapt null scene card string view progress void overrid intent name lower dialog titl return sequenc applic holder public drawabl event extract item main prefer execut search count fals util sourc valu primari contain system content listen resourc privat copi bundl 
5,mirror recommend send version ,com.javiersantos.mlmanager.activities.AppActivity,1.0,result materi version menu window except permiss normal lollipop darker color super request format build enabl forward trace true share datum snack save pend file inflat filenam element context collaps servic configur navig finish oogl home extra output para remov code send fade visibl builder info option header support button clip manag layout delet slide root start dismi action clipboard icon play foreground instal click background final draw descript switch catch transit imag statu print chooser boolean hidden launch creat activ packag null stack expand card string view progress black void pointer succ overrid select intent name plain dialog titl press flag return applic initi pars public reboot drawabl hide extract item tool prefer featur float execut fals util gone primari favorit display system screen callback content listen resourc posit prepar privat copi cach 
