"sentence","category","transformed_sentence"
"Nice
Fantastic.","OTHER",""
"Smooth Animations with material design.","OTHER",""
"Also has the ability to share apks.","OTHER",""
"Ok Great
Thanks Dev!!","OTHER",""
"Sony Xperia Z Hello is very good software thanks 👑 🎆 🎇 👍 🌹
Great app!","OTHER","softwar hello erium app thank"
"Especially loving the upload to APKMirror feature!","OTHER","upload mirror featur love"
"Excellent extractor application
Why not swiping The new design looks really great but i can't really swipe the taps.","PROBLEM DISCOVERY","extractor swipe design look tap applic"
"It's really annoying and isn't easy for big screen phone to tap on the tap icons on top all the times, in order to switch taps.","OTHER","phone time switch icon tap screen"
"I know i can switch tap icons to the buttom but i just love to see taps on the top.","OTHER","love tap icon switch button"
"Please bring swipe controls.","OTHER","pleas bring swipe control"
"Galaxy S7 edge 6.0.1.","OTHER",""
"Thz
Best APK extractor yet
This app is a huge time savor.","OTHER","extractor time savor app"
"No more having to go to APK Mirror and guess which version I need to recommend to send someone.","FEATURE REQUEST","mirror gue recommend send version"
"Hey.","OTHER",""
"I see that a lot of ytubers use this.","OTHER",""
"Can you tell me how to use this?","INFORMATION SEEKING",""
"Amazing!","OTHER",""
"This is a wonderful piece of work!","OTHER",""
"Many thanks to the developer.","OTHER",""
"Does what it says.","OTHER",""
"Great way to back up apps, especially those that have become abandoneware and can't be downloaded anymore.","PROBLEM DISCOVERY",""
"Great
Material design Bestest ever
Best Extract App To External Location Not Working In Android 6.0
open source, no AD.","OTHER","test sourc app design locat extern materi"
"Still learning
Awesome!","OTHER",""
"Jx love d app
So far.","OTHER",""
"We have the pro version.","OTHER",""
"Worth it.","OTHER",""
"On our rooted phone, some apps weren't allowing me to extract the apps using normal apk extracting apps.","OTHER","phone extract root allow pap use"
"This application helped me with that.","OTHER",""
"So far, from what I've tested.","OTHER",""
"Great.","OTHER",""
"Amazing job Dev.","OTHER",""
"Thanks for everything.","OTHER",""
"Just what i n needed
It's awesome and so useful.","OTHER",""
"I use it to uninstall the apps from my phone cause many a time I forget about apps I installed on my phone and it is difficult to spot them in the app drawer.","OTHER","phone forget time instal app drawer caus pap spot"
"Thanks for this app, it is extremely useful.","OTHER",""
"Would love to see a ""auto backup"" function, so that every time an app gets updated, the apk of the old version is backed up.","OTHER","time updat auto love function backup version"
"Thank you sir.","OTHER",""
"Fantastic
Good App
Super.no need to say anything
Has all the needed features.","OTHER",""
"No, really, all of them!","OTHER",""
"Great app!","OTHER",""
"Whoa, it even has the option to choose the name variation of the extracted Apk.","OTHER","whoa name choos variat option"
"This is a must have app.","OTHER",""
"Thanks for the app, keep it the awesome work :)
Hey That's Pretty Good The app is amazing for extracting and managing apk's
Amazing app Very usefull app better another app.","OTHER","extract ape thank app manag amaz hey"
"Beautiful Design, friendly developer.","OTHER",""
"Clean, no ads, and options to set night mode and trim color.","OTHER","color set mode night option"
"This is how you do it.","OTHER",""
"I love it and will upgrade to support the developer.","INFORMATION GIVING","support upgrad love develop"
"Oh and it works great, love the share feature.","OTHER",""
"A+
Great app.","OTHER",""
