"component","bagofwords","transformed_bagofwords"
"com.javiersantos.mlmanager.ApplicationTest","public Application Test super class ","applic public test super cla"
"com.javiersantos.mlmanager.AppInfo","public Info String name version source data Drawable icon Boolean System this system string split length Name return Version Source Data Icon void ","system void split icon public version name drawabl thi length boolean return datum string sourc info"
"com.javiersantos.mlmanager.MLManagerApplication","Override public void Create super Preferences this Package Name equals Iconics register Font Google Material static return Retrieve Manager true false otherwise Boolean String javiersantos mlmanagerpro ","convers font materi public otherwis boolean manag creat packag super regist equal thi prefer true fals string void overrid icon name oogl retriev manageri return static"
"com.javiersantos.mlmanager.async.ExtractFileInBackground","public Extract File Background Context context Material Dialog dialog Info this activity Activity ","context dialog materi public thi background activ extract file info"
"com.javiersantos.mlmanager.async.DeleteDataInBackground","public Delete Data Background Context context Material Dialog dialog String directory success Description this activity Activity ","succ context delet dialog materi descript public thi datum background string activ directori"
"com.javiersantos.mlmanager.async.UninstallInBackground","public Uninstall Background Context context Material Dialog dialog Info this activity Activity Override protected void Post Execute Boolean status super dismiss Builder material Utils show Uninstalled callback Button Callback Positive Root reboot System Negative Intent intent Main class Flags FLAG ACTIVITY TASK CLEAR finish start else Title Content Resources String string root required description ","statu materi public button reboot boolean activ protect main task super root thi start requir execut dismi util string context void system overrid post intent cla callback instal content resourc neg els background posit finish dialog descript titl flag builder info"
"com.javiersantos.mlmanager.utils.UtilsUI","public static darker color double factor Color alpha green blue return argb Math Drawer Navigation Activity activity final Context context Toolbar toolbar Adapter System Favorite Hidden Recycler View recycler String loading Label header Preferences Manager Application apps system Apps favorite hidden Night drawable else night null Integer Item Count Account Header Result Builder with Background build badge Compat divider Badge Style Text GRAY drawer Status Utils Primary Items Name Resources string action Icon Google Material phone android Identifier Divider favorites star visibility Secondary settings Selectable false about info shop description Click Listener Override boolean view position switch case break Dialog show Features start Intent Settings class Flags FLAG ACTIVITY TASK About default actual Hour Calendar Instance HOUR ","load result materi badg darker color drawer hmi build bar instanc context navig cla factor oogl grab visibl builder info header manag start shop blue action default secondari icon click math background final descript switch integ star statu calendar boolean hidden activ adapt task null night compact break identifi string view select overrid intent style name text els account recycl doubl dialog actual return flag applic static alpha green pap public drawabl divid item label tool set prefer featur count fals util gray favorit primari system resourc android listen phone posit"
"com.javiersantos.mlmanager.utils.UtilsApp","Default folder where will saved return File with path public static Folder Environment External Storage Directory Manager Custom Preferences Application Path Boolean copy Info false initial Source final Output Filename Utils true catch Exception print Stack Trace Retrieve extracted param String output switch case Version break Name default Delete files have been deleted otherwise Files exists list length Opens Google Play installed opens browser context Context Package void start Activity Intent ACTION VIEW parse market details Found https play google store apps Plus plus your version code Code Share intent Action SEND Extra EXTRA STREAM from Type application android package archive Flags FLAG ACTIVITY TASK marked favorite check Favorites contains Save menu Item Menu Icon Compat Drawable drawable white else border hidden Hidden Hide button change Floating Button Title Resources string action unhide visibility icon cache Cache Stream Bitmap compress Compress Format Delelete remove removed From bitmap Factory decode banner troll Permissions activity Self Manifest permission WRITE EXTERNAL STORAGE PERMISSION GRANTED request READ PERMISSIONS REQUEST ","bitmap except version menu permiss exist compr directori storag request format trace true share save plu file filenam context banner chang oogl output extra para remov code send write visibl extern environ info archiv button stream list custom manag delet start action default icon unhidden play instal path final retriev store switch catch length type market read print otherwis boolean hidden packag activ folder task stack manifest compact break string view grant void intent name check els titl troll return flag self applic static initi pars pap browser public drawabl detail ymi decod hide extract item found prefer float fals util sourc mark favorit contain border resourc android white copi cach factori"
"com.javiersantos.mlmanager.utils.AppPreferences","public Preferences Context context this shared Manager Default Shared editor Root Status return Rooted void root commit Primary Color Resources color primary Integer Boolean Navigation Black false Show String Custom Filename Sort Mode Path Utils Folder path Favorite Apps Hash favorite remove Hidden hidden ","statu pap public boolean hash hidden color custom manag folder editor sort root thi share prefer commit fals string util default primari black context void filenam favorit navig mode resourc path remov return integ"
"com.javiersantos.mlmanager.utils.UtilsRoot","public static boolean Rooted root Status Manager Application Preferences false ROOT STATUS CHECKED Build File Executing Command ROOTED else true return String build Tags TAGS null contains test keys file system Superuser exists catch Exception Execute xbin which remove With Permission directory status command Process process Runtime exec wait exit Value print Stack Trace hide Boolean hidden unhide uninstall source write mount remount delete read reboot System long Folder Size size Directory list Files Absolute Path length ","absolut statu print public except reboot exit permiss boolean hidden exist list hide manag superus directori folder delet null mount stack root build size trace prefer true execut test wait fals string sourc valu file command contain system remount unhidden proce check tag instal els path remov key bin catch write length return runtim applic static exec read"
